الوزن	source	CV	Detailed_CV	Advanced_CV	الاسم	الوصف	ملاحظات
فَعَلَ	atwah	CVCVCV	C-Va-C-Va-C-Va	CVaCVaCVa			
فَعِلَ	atwah	CVCVCV	C-Va-C-Vi-C-Va	CVaCViCVa			
فَعُلَ	atwah	CVCVCV	C-Va-C-Vo-C-Va	CVaCVoCVa			
فَاعَلَ	atwah	CVVCVCV	C-Va-Va-C-Va-C-Va	CVaVaCVaCVa			
فَاعِلٌ	atwah	CVVCVCV	C-Va-Va-C-Vi-C-Vo-C	CVaVaCViCVo			
فَعَّلَ	atwah	CVCCVCV	C-Va-C-C-Va-C-Va	CVaCCVaCVa			
انْفَعَلَ	atwah	VVCCVCVCV	Va-C-C-Va-C-Va-C-Va	VaVaCCVaCVaCVa			
افْتَعَلَ	atwah	VVCCVCVCV	Va-C-C-Va-C-Va-C-Va	VaVaCCVaCVaCVa			
اسْتَفْعَلَ	atwah	VVCCVCCVCV	Va-C-C-Va-C-C-Va-C-Va	VaVaCCVaCCVaCVa			
تَفَعَّلَ	atwah	CVCVCCVCV	C-Va-C-Va-C-C-Va-C-Va	CVaCVaCCVaCVa			
تَفَاعَلَ	atwah	CVCVVCVCV	C-Va-C-Va-Va-C-Va-C-Va	CVaCVaVaCVaCVa			
مَفْعُول	atwah	CVCCVVC	C-Va-C-C-Vo-Vo-C	CVaCCVoVoC	اسم مفعول	ما وقع عليه الفعل	
فَعَّال	atwah	CVCCVVC	C-Va-C-C-Va-Va-C	CVaCCVaVaC	صيغة مبالغة	كثرة وقوع الفعل	مثال: غفّار
كَذَّبَ	manual	CVCCVC	C-Va-C-C-Vi-C	CVaCCViC			
فَعِيل	atwah	CVCVVC	C-Va-C-Vi-Vi-C	CVaCViViC	صفة مشبهة	صفة ثابتة في الموصوف	أقوى من اسم الفاعل
فَعّ	atwah	CVCC	C-Va-C-C	CVaCC			
فَعِل	atwah	CVCVC	C-Va-C-Vi-C	CVaCViC			
