"id","singular_pattern","plural_pattern","plural_type","example_singular","example_plural","notes","is_deleted","edit_by","created_at","updated_at"
"1","فَعْل","أَفْعُل","جموع القلة القياسية","نَجْمٌ","أَنْجُمٌ","كل اسم مفرد ثلاثي سالم","0",NULL,"2025-09-07 08:44:17","2025-09-07 08:44:17"
"2","فِعَال","أَفْعُل","جموع القلة القياسية","ذِرَاعٌ","أَذْرُع",NULL,"0",NULL,"2025-09-07 08:44:17","2025-09-07 08:44:17"
"3","فَعَل","أَفْعَال","جموع القلة القياسية","بَابٌ","أَبْوَابٌ","وهو قياسي في كل اسم ثلاثي، ويُنقاس الوزن فيه الوزن السابق (أَفْعُل).","0",NULL,"2025-09-07 08:44:17","2025-09-07 08:44:17"
"4","فُعْل","أَفْعَال","جموع القلة القياسية","بُرْجٌ","أَبْرَاجٌ","هذه أوزان اسمية ثلاثية، وغالباً ما تُستخدم لتدل على المصدر من الفعل الثلاثي.","0",NULL,"2025-09-07 08:44:17","2025-09-07 08:44:17"
"5","فَعَال","أَفْعِلَة","جموع القلة القياسية","طَعَامٌ","أَطْعِمَةٌ","كل اسم مذكّر مفرد رباعي، قبل آخره حرف مد.","0",NULL,"2025-09-07 08:44:17","2025-09-07 08:44:17"
"6","فُعُول","أَفْعِلَة","جموع القلة القياسية","عُمْود","أَعْمِدَة",NULL,"0",NULL,"2025-09-07 08:45:14","2025-09-07 08:45:14"
"7","فَعِيل","أَفْعِلَة","جموع القلة القياسية","رَغِيف","أَرْغِفَة",NULL,"0",NULL,"2025-09-07 08:45:14","2025-09-07 08:45:14"
"8","فِعَال","أَفْعِلَة","جموع القلة القياسية","كِسَاء","أَكْسِيَة",NULL,"0",NULL,"2025-09-07 08:45:14","2025-09-07 08:45:14"
"9","فُعَال","أَفْعِلَة","جموع القلة القياسية","غُرَاب","أَغْرِبَة",NULL,"0",NULL,"2025-09-07 08:45:14","2025-09-07 08:45:14"
"10","فَعَل","فُعُول","جموع الكثرة القياسية","طَلَل","طُلُول",NULL,"0",NULL,"2025-09-07 08:45:14","2025-09-07 08:45:14"
"11","أَفْعَل","فُعْل","جموع الكثرة القياسية","أَسْمَرٌ","سُمْرٌ","وصف لمذكر","0",NULL,"2025-09-07 08:45:14","2025-09-07 08:45:14"
"12","فَعْلَاء","فُعْل","جموع الكثرة القياسية","سَمْرَاءٌ","سُمْرٌ","وصف لمذكر","0",NULL,"2025-09-07 08:45:14","2025-09-07 08:45:14"
"13","فَعِل","فُعُل","جموع الكثرة القياسية","سَبِيلٌ","سُبُلٌ","هو قياسي","0",NULL,"2025-09-07 08:45:14","2025-09-07 08:45:14"
"14","فَعُول","فُعُل","جموع الكثرة القياسية","صَبُورٌ","صُبُر","وصف بمعنى فاعل","0",NULL,"2025-09-07 08:45:14","2025-09-07 08:45:14"
"15","فَعِيل","فُعُل","جموع الكثرة القياسية","جَدِيد","جُدُد",NULL,"0",NULL,"2025-09-07 08:45:14","2025-09-07 08:45:14"
"16","فُعْلَى","فُعَل","جموع الكثرة القياسية","دُنْيا","دُنَا","وهو قياسي","0",NULL,"2025-09-07 08:45:14","2025-09-07 08:45:14"
"17","فُعْلَة","فُعَل","جموع الكثرة القياسية","غُرْفَة","غُرَف",NULL,"0",NULL,"2025-09-07 08:45:14","2025-09-07 08:45:14"
"18","فُعْلَى","فُعَل","جموع الكثرة القياسية","فُضْلَى","فُضَل",NULL,"0",NULL,"2025-09-07 08:45:51","2025-09-07 08:45:51"
"19","فُعُلَة","فُعَل","جموع الكثرة القياسية","جُمُعَة","جُمَع",NULL,"0",NULL,"2025-09-07 08:45:51","2025-09-07 08:45:51"
"20","فِعْلَة","فِعَل","جموع الكثرة القياسية","كِسْرَة","كِسَر","قياسي في كل اسم على وزن فِعْلَة اسم تام؛ أي لم يُحذف منه شيء","0",NULL,"2025-09-07 08:45:51","2025-09-07 08:45:51"
"21","فَاعٍ","فُعَلَة","جموع الكثرة القياسية","رَامٍ","رُمَاة","كل وصف لمذكر عاقل على وزن فَاعِل معتل اللام بالياء أو الواو","0",NULL,"2025-09-07 08:45:51","2025-09-07 08:45:51"
"22","فَاعِل","فَعَلَة","جموع الكثرة القياسية","وَارِث","وَرَثَة","كل وصف على وزن فَاعِل لمذكر عاقل صحيح اللام","0",NULL,"2025-09-07 08:45:51","2025-09-07 08:45:51"
"23","فَاعِل","فُعَّل","جموع الكثرة القياسية","نَائِم","نُوَّم",NULL,"0",NULL,"2025-09-07 08:45:51","2025-09-07 08:45:51"
"24","فَعْلَان","فَعْلَى","جموع الكثرة القياسية","عَطْشَان","عَطْشَى","كل وصف يدل على هلاك أو توجع أو عيب","0",NULL,"2025-09-07 08:45:51","2025-09-07 08:45:51"
"25","فَعِيل","فَعْلَى","جموع الكثرة القياسية","صَرِيع","صَرْعَى","مفرد بمعنى مفعول","0",NULL,"2025-09-07 08:45:51","2025-09-07 08:45:51"
"26","أَفْعَل","فَعْلَى","جموع الكثرة القياسية","أَحْمَق","حَمْقَى","مفرد","0",NULL,"2025-09-07 08:45:51","2025-09-07 08:45:51"
"27","فَيْعِل","فَعْلَى","جموع الكثرة القياسية","مَيِّت","مَوْتَى","أصلها (مَيْوِت = فَيْعِل)","0",NULL,"2025-09-07 08:45:51","2025-09-07 08:45:51"
"28","فَاعِل","فَعْلَى","جموع الكثرة القياسية","هَالِك","هَلْكَى","مفرد","0",NULL,"2025-09-07 08:45:51","2025-09-07 08:45:51"
"29","فِعْلَة","فِعَلَة","جموع الكثرة القياسية","قُرْط","قِرَطَة","يشمل مثل: قِرْد = قِرَدَة. كل اسم على وزن فُعْل أو فِعْل صحيح اللام","0",NULL,"2025-09-07 08:45:51","2025-09-07 08:45:51"
"30","فَاعِل","فُعَّل","جموع الكثرة القياسية","ضَارِب","ضُرَّب","يشمل المذكر والمؤنث (ضَارِب/ضَارِبَة) إذا كان صحيح اللام","0",NULL,"2025-09-07 08:45:51","2025-09-07 08:45:51"
"31","فَاعِل","فُعَّال","جموع الكثرة القياسية","قَارِئ","قُرَّاء","كل وصف على وزن فَاعِل صحيح اللام لمذكر","0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"32","فَعِيل","فِعَال","جموع الكثرة القياسية","كَرِيمٌ","كِرَامٌ",NULL,"0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"33","فَعَل","فِعَال","جموع الكثرة القياسية","جَبَل","جِبَال","لامها صحيحة غير مضعفة","0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"34","فَعَلَة","فِعَال","جموع الكثرة القياسية","رَقَبَة","رِقَاب","لامها صحيحة غير مضعفة","0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"35","فُعْل","فِعَال","جموع الكثرة القياسية","رُمْح","رِمَاح","غير واوي العين ولا يائي اللام","0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"36","فِعْل","فِعَال","جموع الكثرة القياسية","ذِئْب","ذِئَاب","غير واوي العين ولا يائي اللام","0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"37","فَعْلَان","فِعَال","جموع الكثرة القياسية","غَضْبَان","غِضَاب","وصف، مؤنثه: غَضْبَى أو غَضْبَانَة","0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"38","فَعِل","فُعُول","جموع الكثرة القياسية","مَلِك","مُلُوك",NULL,"0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"39","فَعْل","فُعُول","جموع الكثرة القياسية","كَعْب","كُعُوب",NULL,"0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"40","فِعْل","فُعُول","جموع الكثرة القياسية","ضِرْس","ضُرُوس",NULL,"0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"41","فَاعِل","فِعْلَان","جموع الكثرة القياسية","حَائِطٌ","حِيطَانٌ",NULL,"0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"42","فُعْل","فِعْلَان","جموع الكثرة القياسية","كُوز","كِيزَان","معتل العين بالواو","0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"43","فُعَل","فَعْلَان","جموع الكثرة القياسية","جُرَذ","جِرْذَان",NULL,"0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"44","فُعَال","فِعْلَان","جموع الكثرة القياسية","غُلَام","غِلْمَان",NULL,"0",NULL,"2025-09-07 08:46:39","2025-09-07 08:46:39"
"45","فُعْلَان","فُعْلَان","جموع الكثرة القياسية","غَدِير","غُدْرَان",NULL,"0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"46","فَعِيل","فُعْلَان","جموع الكثرة القياسية","كَثِيب","كُثْبَان",NULL,"0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"47","فَعْل","فُعْلَان","جموع الكثرة القياسية","ظَهْر","ظُهْرَان",NULL,"0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"48","فَعَل","فُعْلَان","جموع الكثرة القياسية","بَلَد","بُلْدَان","صحيح العين","0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"49","فَعِيل","فُعَلَاء","جموع الكثرة القياسية","ضَعِيف","ضُعَفَاء",NULL,"0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"50","مُفْعِل","فُعَلَاء","جموع الكثرة القياسية","أَلِيم","أُلَمَاء","بمعنى مُؤلِم","0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"51","مُفَاعِل","فُعَلَاء","جموع الكثرة القياسية","جَلِيس","جُلَسَاء","بمعنى مُجَالِس","0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"52","فَاعِل","فُعَلَاء","جموع الكثرة القياسية","فَاسِق","فُسَقَاء","وصف لمذكر عاقل دال على سجية أو يشابهها في الدوام","0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"53","فَعِيل","أَفْعِلَاء","جموع الكثرة القياسية","ذَلِيل","أَذِلَّاء","أو: قَوِيّ = أَقْوِيَاء","0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"54","فَاعِل","فَوَاعِل","جموع الكثرة القياسية","ضَابِط","ضَوَابِط",NULL,"0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"55","فَاعِلَة","فَوَاعِل","جموع الكثرة القياسية","نَائِمَة","نَوَائِم",NULL,"0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"56","فَوْعَل","فَوَاعِل","جموع الكثرة القياسية","جَوْهَر","جَوَاهِر",NULL,"0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"57","فَوْعَلَة","فَوَاعِل","جموع الكثرة القياسية","صَوْمَعَة","صَوَامِع",NULL,"0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"58","فَعِيلَة","فَعَائِل","جموع الكثرة القياسية","قَصِيدَة","قَصَائِد","كل رباعي مؤنث لفظيا أو معنويا","0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"59","فَعَالَة","فَعَائِل","جموع الكثرة القياسية","سَحَابَة","سَحَائِب","بفتح الفاء أو كسرها أو ضمها","0",NULL,"2025-09-07 08:51:16","2025-09-07 08:51:16"
"60","فَعُولَة","فَعَائِل","جموع الكثرة القياسية","حَلُوبَة","حَلَائِب",NULL,"0",NULL,"2025-09-07 08:52:05","2025-09-07 08:52:05"
"61","فِعَال","فَعَائِل","جموع الكثرة القياسية","شِمَال","شَمَائِل",NULL,"0",NULL,"2025-09-07 08:52:05","2025-09-07 08:52:05"
"62","فَعُول","فَعَائِل","جموع الكثرة القياسية","عَجُوز","عَجَائِز",NULL,"0",NULL,"2025-09-07 08:52:05","2025-09-07 08:52:05"
"63","فَعْلَاة","فَعَالِي","جموع الكثرة القياسية","المَوْمَاة","المَوَامِي",NULL,"0",NULL,"2025-09-07 08:52:05","2025-09-07 08:52:05"
"64","فَعَلَل","فَعَالِل","جموع الكثرة القياسية","جَعْفَر","جَعَافِر",NULL,"0",NULL,"2025-09-07 08:52:05","2025-09-07 08:52:05"
"65","فِعْلَاة","فَعَالِي","جموع الكثرة القياسية","السِّعْلَاة","السَّعَالِي",NULL,"0",NULL,"2025-09-07 08:52:05","2025-09-07 08:52:05"
"66","فَعْلُوة","فَعَالِي","جموع الكثرة القياسية","التَّرْقُوَة","التَّرَاقِي",NULL,"0",NULL,"2025-09-07 08:52:05","2025-09-07 08:52:05"
"67","فَعْلَاء","فَعَالِي","جموع الكثرة القياسية","الصَّحْرَاء","الصَّحَارِي","اسمًا","0",NULL,"2025-09-07 08:52:05","2025-09-07 08:52:05"
"68","فَعْلَاء","فَعَالِي","جموع الكثرة القياسية","العَذْرَاء","العَذَارِي","وصفًا لمؤنث لا مذكر له","0",NULL,"2025-09-07 08:52:05","2025-09-07 08:52:05"
"69","فُعْلِيّ","فَعَالَى","جموع الكثرة القياسية","كُرْسِيّ","كَرَاسِيّ","كل اسم ثلاثي ساكن العين، وبعد الأحرف الثلاثة ياء مشددة","0",NULL,"2025-09-07 08:52:05","2025-09-07 08:52:05"
"70","فِعْلَل","فَعَالِل","جموع الكثرة القياسية","دِرْهَم","دَرَاهِم",NULL,"0",NULL,"2025-09-07 08:52:05","2025-09-07 08:52:05"
"71","مَفْعَل","مَفَاعِل","جموع الكثرة القياسية","مَسْجِد","مَسَاجِد",NULL,"0",NULL,"2025-09-07 08:52:05","2025-09-07 08:52:05"
"72","مَفْعَلَة","مَفَاعِل","جموع الكثرة القياسية","مَدْرَسَة","مَدَارِس",NULL,"0",NULL,"2025-09-07 08:52:05","2025-09-07 08:52:05"
