Segment,Start,End,Length,Is_Fibonacci,Total_Roots,Density,Category,Root,Count,Percentage
1,1,5,5,Yes,2,0.4,Knowledge/Understanding,علم,1,50.0
1,1,5,5,Yes,2,0.4,Knowledge/Understanding,وعي,1,50.0
2,6,13,8,Yes,13,1.625,Knowledge/Understanding,علم,3,23.1
2,6,13,8,Yes,13,1.625,Knowledge/Understanding,وعي,2,15.4
2,6,13,8,Yes,13,1.625,Reading/Writing,كتب,1,7.7
2,6,13,8,Yes,13,1.625,Knowledge/Understanding,فهم,2,15.4
2,6,13,8,Yes,13,1.625,Cognition,ذكر,3,23.1
2,6,13,8,Yes,13,1.625,Perception,بصر,1,7.7
2,6,13,8,Yes,13,1.625,Revelation,نزل,1,7.7
3,14,26,13,Yes,43,3.308,Knowledge/Understanding,علم,5,11.6
3,14,26,13,Yes,43,3.308,Knowledge/Understanding,وعي,4,9.3
3,14,26,13,Yes,43,3.308,Reading/Writing,كتب,3,7.0
3,14,26,13,Yes,43,3.308,Knowledge/Understanding,فهم,8,18.6
3,14,26,13,Yes,43,3.308,Cognition,ذكر,2,4.7
3,14,26,13,Yes,43,3.308,Perception,بصر,3,7.0
3,14,26,13,Yes,43,3.308,Perception,سمع,5,11.6
3,14,26,13,Yes,43,3.308,Cognition,عقل,2,4.7
3,14,26,13,Yes,43,3.308,Reading/Writing,قرأ,2,4.7
3,14,26,13,Yes,43,3.308,Cognition,فكر,3,7.0
3,14,26,13,Yes,43,3.308,Cognition,دبر,3,7.0
3,14,26,13,Yes,43,3.308,Revelation,شهد,1,2.3
3,14,26,13,Yes,43,3.308,Perception,نظر,2,4.7
4,27,39,13,Yes,86,6.615,Knowledge/Understanding,علم,11,12.8
4,27,39,13,Yes,86,6.615,Knowledge/Understanding,وعي,10,11.6
4,27,39,13,Yes,86,6.615,Reading/Writing,كتب,5,5.8
4,27,39,13,Yes,86,6.615,Knowledge/Understanding,فهم,10,11.6
4,27,39,13,Yes,86,6.615,Cognition,ذكر,7,8.1
4,27,39,13,Yes,86,6.615,Perception,بصر,3,3.5
4,27,39,13,Yes,86,6.615,Revelation,نزل,3,3.5
4,27,39,13,Yes,86,6.615,Perception,سمع,9,10.5
4,27,39,13,Yes,86,6.615,Cognition,عقل,9,10.5
4,27,39,13,Yes,86,6.615,Reading/Writing,قرأ,6,7.0
4,27,39,13,Yes,86,6.615,Cognition,فكر,5,5.8
4,27,39,13,Yes,86,6.615,Cognition,دبر,4,4.7
4,27,39,13,Yes,86,6.615,Revelation,شهد,4,4.7
5,40,52,13,Yes,59,4.538,Knowledge/Understanding,علم,7,11.9
5,40,52,13,Yes,59,4.538,Knowledge/Understanding,وعي,6,10.2
5,40,52,13,Yes,59,4.538,Reading/Writing,كتب,9,15.3
5,40,52,13,Yes,59,4.538,Knowledge/Understanding,فهم,7,11.9
5,40,52,13,Yes,59,4.538,Cognition,ذكر,3,5.1
5,40,52,13,Yes,59,4.538,Perception,بصر,3,5.1
5,40,52,13,Yes,59,4.538,Revelation,نزل,2,3.4
5,40,52,13,Yes,59,4.538,Perception,سمع,5,8.5
