"id","letter","example","usages","notes","created_at","updated_at","is_deleted","edit_by"
"1","وَ ( الواو)","فَازَ زَيْدٌ وَعَمْرٌو.","للمشاركة بين المعطوف والمعطوف عليه في المعنى والإعراب.","تدل على مطلق الجمع بين المعطوف والمعطوف عليه في معنىً واحد، فهي لا تدلّ على أكثر من التشريك في المعنى العام؛ فلا تفيد واوُ العطفِ الترتيبَ، إذْ يمكن أن يكون عَمرُو فازَ أولا، كما يمكن أن يكونا فازا معا في الآن نفسِه.","2025-04-20 10:45:37","2025-05-22 14:43:09","0","5"
"2","فَ ( الفاء)","دَخَلَ الْحَارِسُ فَالْمُدِيرُ.","للعطف مع الترتيب والتعقيب أي بلا فاصلٍ زمنيّ طويل بين المعطوف والمعطوف عليه.","وقوع الحدث الثاني بعد الأول مباشرة.","2025-04-20 10:45:37","2025-05-22 14:43:59","0","5"
"3","ثُمَ","سَافَرَ زَيْدٌ ثُمَّ عَمْرٌو.","للترتيب مع التراخي","وجود مُهلة زمنية بين المعطوف والمعطوف عليه.","2025-04-20 10:45:37","2025-05-22 14:44:31","0","5"
"4","حَتّى","نَفِدَ الزَّادُ حَتَّى الْمَاءُ.","للغاية","بيان نهاية الشيء.شروط:1- أن يكون المعطوف اسماً صريحاً.2- أن يكون من أجزاء المعطوف عليه.3- أن يكون غاية للمعطوف عليه سواء في الرفعة أو الضعة.","2025-04-20 10:45:37","2025-05-22 14:47:10","0","5"
"5","أَوْ","تَزَوَّجْ هِنْدًا أَوْ أُخْتَهَا.","للتَّخْيِيرِ بين أمْرَيْن أو أكثر","اختيار أحد الأمرين","2025-04-20 10:45:37","2025-05-22 14:47:42","0","5"
"6","أَمْ","قُلْ هَلْ يَسْتَوِي الْأَعْمَىٰ وَالْبَصِيرُ أَمْ هَلْ تَسْتَوِي الظُّلُمَاتُ وَالنُّورُ","يُفيد الإضراب.","قطع الكلام الأول واستئناف ما بعده.","2025-04-20 10:45:37","2025-05-22 14:47:56","0","5"
"7","بَلْ","سَقَانَا لَبَنًا بَلْ مَاءً.","الإضراب الإبطالي","تُستخدم لإبطال المعنى الأول وإثبات المعنى الثاني","2025-04-20 10:45:37","2025-05-22 14:48:34","0","5"
"8","لَكِنْ","لَمْ يَغْنَمِ الْخَادِمُ لَكِنْ سَيِّدُهُ.","الاستدراك","تصحيح المعنى بعد النفي.","2025-04-20 10:45:37","2025-05-22 14:50:35","0","5"
"9","لَا","سَافَرَ زَيْدٌ لَا عَمْرٌو.","النفي مع العطف.","يثبت الحكم لما قبلها وينفيه عما بعدها. يجب أن يسبقها خبر غير منفي وتشير ""لا"" إلى إثبات الحكم لما جاء قبلَها ونفيِهِ عمَّا جاءَ بعدها.","2025-04-20 10:45:37","2025-05-22 14:51:14","0","5"
"10","حَتّى (عطف)","مَاتَ النَّاسُ حَتَّى الْأَنْبِيَاءُ. أَكَلْتُ السَّمَكَةَ حَتَّى رَأْسَهَا. زَارَكَ النَّاسُ حَتَّى الْخَدَمُ.","للمشاركة بين المعطوف والمعطوف عليه في المعنى والإعراب والتّدرّج والغاية.","شروط العطف بـ ""حتى"":1- أن يكون ما بعدها اسمًا ظاهرًا.2- أن يكون المعطوف بها اسمًا.3- أن يكون المعطوف بها بعضًا من المعطوف عليه.4- أن يكون المعطوف بها غايةً لما قبلها.","2025-04-20 10:45:37","2025-05-22 14:52:20","0","5"
"11","فَ (الْفَاءُ)","عَدَلْتَ فَاسْتَرَحْتَ.","للسببية بعطف جملة على جملة أخرى.","وقوع الثاني بسبب الأول.","2025-04-22 14:12:19","2025-05-22 14:53:20","0","5"
"12","أَوْ","أَزَيْدٌ بَاعَكَ الْبِضَاعَةَ أَمْ عَمْرٌو؟","الشك","الشك بين أمرين","2025-04-22 14:25:36","2025-05-22 14:53:58","0","5"
"13","أَوْ","خُذْ عَنَزَةً أَوْ كَبْشًا.","الإباحة","إجازة الأمرين","2025-04-22 14:26:42","2025-05-22 14:54:31","0","5"
"14","أَوْ","لَأَشْكِيَنَّكَ لِلْقَاضِي أَوْ تَرُدَّ عَلَيَّ مَالِي.","بمعنى ""إلا أن""","استثناء وقوع الفعل الثاني من الأول","2025-04-22 14:27:11","2025-05-22 14:55:34","0","5"
"15","أَمْ","قُلْ أَأَنْتُمْ أَعْلَمُ أَمِ اللَّهُ.","طلب التعيين","تحديد أحد الأمرين","2025-04-22 14:28:32","2025-05-22 14:56:15","0","5"
"16","أَمْ","لِيَبْلُوَنِي أَأَشْكُرُ أَمْ أَكْفُرُ.","المعادلة","وضع شيئين في مقارنة متساوية","2025-04-22 14:29:02","2025-05-22 14:56:45","0","5"
"17","لَا","اِجْمَعْ أَقْلَامَكَ لَا كُتُبَكَ.","النفي مع الأمر","توجيه النفي لما بعد الحرف، ويجب أَن يسبقها فعلُ أَمرٍ، وتشير ""لا"" إلى إثبات الحكم لما جاء قبلَها ونفيِهِ عمَّا جاءَ بعدها.","2025-04-22 14:35:38","2025-05-22 14:57:45","0","5"
"18","بَلْ","أَءُنزِلَ عَلَيْهِ ٱلذِّكْرُ مِنۢ بَيْنِنَا ۚ بَلْ هُمْ فِى شَكٍّ","الإضراب الانتقالي","الانتقال من معنى لآخر","2025-04-22 14:42:22","2025-05-22 14:56:58","0","5"
