Sura_No,Verse_No,token_count,masaq_word_count
2,21,12,11
2,33,23,22
2,35,19,18
2,40,14,13
2,47,12,11
2,54,27,26
2,55,15,14
2,61,60,59
2,104,13,12
2,122,12,11
2,132,17,16
2,144,34,33
2,148,19,18
2,150,31,30
2,153,11,10
2,168,17,16
2,172,15,14
2,178,38,37
2,179,9,8
2,183,15,14
2,197,30,29
2,208,16,15
2,254,22,21
2,264,39,38
2,267,30,29
2,278,14,13
2,282,129,128
3,37,35,34
3,42,13,12
3,43,8,7
3,45,21,20
3,55,31,30
3,64,32,31
3,65,16,15
3,66,20,19
3,70,9,8
3,71,11,10
3,75,38,35
3,98,13,12
3,99,20,19
3,100,15,14
3,102,13,12
3,112,35,34
3,118,31,30
3,119,28,27
3,130,13,12
3,149,13,12
3,156,37,36
3,200,11,10
4,1,29,28
4,19,35,34
4,29,24,23
4,43,49,48
4,47,29,28
4,59,29,28
4,71,11,10
4,73,19,18
4,91,32,31
4,94,40,39
4,109,19,18
4,135,38,37
4,136,29,28
4,144,18,17
4,170,24,23
4,171,54,53
4,174,12,11
5,1,24,23
5,2,53,52
5,6,62,61
5,8,27,26
5,11,24,23
5,13,34,31
5,15,24,23
5,19,29,28
5,20,23,22
5,21,15,14
5,22,18,17
5,24,19,15
5,31,26,25
5,35,14,13
5,41,68,67
5,51,23,22
5,54,38,37
5,57,24,23
5,59,21,20
5,67,25,24
5,68,31,30
5,72,34,33
5,77,24,23
5,87,18,17
5,90,16,15
5,94,24,23
5,95,51,50
5,96,22,19
5,100,16,15
5,101,26,25
5,105,20,19
5,106,52,51
5,110,64,63
5,112,22,21
5,116,45,44
5,117,31,28
6,27,17,16
6,31,27,26
6,78,18,17
6,128,36,35
6,130,28,27
6,135,19,18
7,19,17,16
7,26,20,19
7,27,31,30
7,31,16,15
7,35,19,18
7,59,21,20
7,65,16,15
7,67,11,10
7,73,35,34
7,77,16,15
7,79,15,14
7,85,38,37
7,88,22,21
7,93,16,15
7,104,9,8
7,115,11,10
7,134,23,22
7,138,24,23
7,144,15,14
7,158,32,31
8,15,12,11
8,20,12,11
8,24,21,20
8,27,12,11
8,29,19,18
8,45,13,12
8,64,9,8
8,65,27,26
8,70,25,24
9,23,20,19
9,28,28,27
9,34,29,28
9,38,29,28
9,73,12,11
9,119,9,8
9,123,17,16
10,23,26,25
10,57,15,14
10,71,34,33
10,84,13,12
10,104,27,26
10,108,23,22
11,28,20,19
11,29,23,22
11,30,10,9
11,32,14,13
11,42,20,19
11,44,19,17
11,46,24,23
11,48,19,18
11,50,18,17
11,51,14,13
11,52,18,17
11,53,16,15
11,61,28,27
11,62,22,21
11,63,23,22
11,64,18,17
11,72,13,12
11,76,15,14
11,78,27,26
11,81,30,29
11,84,27,26
11,85,15,14
11,87,21,20
11,88,36,35
11,89,23,22
11,91,19,18
11,92,16,15
11,93,20,19
11,107,17,14
12,4,16,15
12,5,16,15
12,11,12,11
12,17,19,18
12,19,17,16
12,39,10,9
12,41,20,19
12,43,25,24
12,63,17,16
12,65,26,25
12,67,28,27
12,78,16,15
12,81,18,17
12,84,13,12
12,87,21,20
12,88,22,21
12,97,9,8
12,100,47,46
15,6,9,8
15,7,8,7
15,32,9,8
16,109,9,6
17,101,19,18
17,102,16,15
18,42,20,19
18,49,28,27
18,86,25,24
18,94,20,19
19,7,13,12
19,12,8,7
