field,value
Case_Mood,ACCUSATIVE
Case_Mood,GENITIVE
Case_Mood,INVARIABLE
Case_Mood,JUSSIVE
Case_Mood,NOMINATIVE
Case_Mood_Marker,ALIF
Case_Mood_Marker,DEL_NUN
Case_Mood_Marker,DEL_VOWEL
Case_Mood_Marker,DHAMMA
Case_Mood_Marker,FATHA
Case_Mood_Marker,FATHA_DIPTOTE
Case_Mood_Marker,IMP_DHAMMA
Case_Mood_Marker,IMP_FATHA
Case_Mood_Marker,IMP_KASRA
Case_Mood_Marker,KASRA
Case_Mood_Marker,NUN
Case_Mood_Marker,SUKUN
Case_Mood_Marker,WAW
Case_Mood_Marker,YAA
Morph_Tag,ABBREV
Morph_Tag,ADJ_COMP
Morph_Tag,ADJ_INTENS
Morph_Tag,ADJ_QUALIT
Morph_Tag,ADV
Morph_Tag,ANNUL_PART
Morph_Tag,CASE_DEF_ACC
Morph_Tag,CASE_DEF_GEN
Morph_Tag,CASE_DEF_NOM
Morph_Tag,CASE_INDEF_(ACC_GEN)
Morph_Tag,CASE_INDEF_ACC
Morph_Tag,CASE_INDEF_GEN
Morph_Tag,CASE_INDEF_NOM
Morph_Tag,CERT_PART
Morph_Tag,CONDITION_PART
Morph_Tag,CONJ
Morph_Tag,CURRENCY
Morph_Tag,CV
Morph_Tag,CVSUFF_SUBJ:2MP
Morph_Tag,CVSUFF_SUBJ:2MS
Morph_Tag,CV_PREF
Morph_Tag,DEM_PRON
Morph_Tag,DEM_PRON_F
Morph_Tag,DEM_PRON_FS
Morph_Tag,DEM_PRON_MP
Morph_Tag,DEM_PRON_MS
Morph_Tag,DET
Morph_Tag,EMPHATIC_NUN
Morph_Tag,EXCEPT_NOUN
Morph_Tag,EXCEPT_PART
Morph_Tag,FOREIGN
Morph_Tag,FUTURE_PART
Morph_Tag,FUTUR_PART
Morph_Tag,FUT_PART
Morph_Tag,GERUND
Morph_Tag,GERUND_INSTANT
Morph_Tag,GERUND_MEEM
Morph_Tag,GERUND_PROFESSION
Morph_Tag,GERUND_STATE
Morph_Tag,IMPERF_PREF
Morph_Tag,INF_ANNUL_PART
Morph_Tag,INF_SUBJUNC_PART
Morph_Tag,INTERROG
Morph_Tag,INTERROG_PART
Morph_Tag,INTERROG_PRON
Morph_Tag,IV
Morph_Tag,IV1P
Morph_Tag,IV1S
Morph_Tag,IV2MP
Morph_Tag,IV3FS
Morph_Tag,IV3MP
Morph_Tag,IV3MS
Morph_Tag,IVSUFF_DO:3MS
Morph_Tag,IVSUFF_SUBJ:MP_MOOD:I
Morph_Tag,IVSUFF_SUBJ:MP_MOOD:SJ
Morph_Tag,IV_PASS
Morph_Tag,JUSSIVE_PART
Morph_Tag,KAAFA_MAKFOUFA
Morph_Tag,NEG_PART
Morph_Tag,NOON_V5
Morph_Tag,NOUN
Morph_Tag,NOUN_ABSTRACT
Morph_Tag,NOUN_ACTIVE_PART
Morph_Tag,NOUN_CONCRETE
Morph_Tag,NOUN_DIMINUTIVE
Morph_Tag,NOUN_FIVE
Morph_Tag,NOUN_INSTRUMENT
Morph_Tag,NOUN_NUM
Morph_Tag,NOUN_PASSIVE_PART
Morph_Tag,NOUN_PROP
Morph_Tag,NOUN_PROP_FOREIGN
Morph_Tag,NOUN_RELATIVE
Morph_Tag,NOUN_TIME_PLACE
Morph_Tag,NOUN_VERB_LIKE
Morph_Tag,NSUFF_FEM_DU_ACC
Morph_Tag,NSUFF_FEM_DU_GEN
Morph_Tag,NSUFF_FEM_DU_NOM
Morph_Tag,NSUFF_FEM_PL
Morph_Tag,NSUFF_FEM_SG
Morph_Tag,NSUFF_MASC_DU_ACC
Morph_Tag,NSUFF_MASC_DU_GEN
Morph_Tag,NSUFF_MASC_DU_GEN_POSS
Morph_Tag,NSUFF_MASC_DU_NOM
Morph_Tag,NSUFF_MASC_PL_ACC
Morph_Tag,NSUFF_MASC_PL_GEN
Morph_Tag,NSUFF_MASC_PL_NOM
Morph_Tag,None
Morph_Tag,OBJ_PRON
Morph_Tag,OTHER
Morph_Tag,PART
Morph_Tag,POSS_PRON
Morph_Tag,POSS_PRON_1P
Morph_Tag,POSS_PRON_1S
Morph_Tag,POSS_PRON_2MS
Morph_Tag,POSS_PRON_3D
Morph_Tag,POSS_PRON_3FS
Morph_Tag,POSS_PRON_3MP
Morph_Tag,POSS_PRON_3MS
Morph_Tag,PREFIX
Morph_Tag,PREP
Morph_Tag,PRON
Morph_Tag,PRON_1P
Morph_Tag,PRON_1S
Morph_Tag,PRON_2MP
Morph_Tag,PRON_2MS
Morph_Tag,PRON_3D
Morph_Tag,PRON_3FP
Morph_Tag,PRON_3FS
Morph_Tag,PRON_3MP
Morph_Tag,PRON_3MS
Morph_Tag,PROTECT_NUN
Morph_Tag,PV
Morph_Tag,PVSUFF_DO:3FS
Morph_Tag,PVSUFF_DO:3MP
Morph_Tag,PVSUFF_DO:3MS
Morph_Tag,PVSUFF_SUBJ:1P
Morph_Tag,PVSUFF_SUBJ:1S
Morph_Tag,PVSUFF_SUBJ:2MP
Morph_Tag,PVSUFF_SUBJ:3FS
Morph_Tag,PVSUFF_SUBJ:3MP
Morph_Tag,PVSUFF_SUBJ:3MS
Morph_Tag,PV_PASS
Morph_Tag,RELATIVE_YA
Morph_Tag,REL_ADV
Morph_Tag,REL_PRON
Morph_Tag,SUBJUNC_PART
Morph_Tag,SUBJ_PRON
Morph_Tag,SUFF
Morph_Tag,SUFF_FEM_TA
Morph_Tag,UNINFLECTED_VERB
Morph_Tag,VOC_PART
Morph_Tag,YES_NO_RESP_PART
Morph_Type,Other_i3rab
Morph_Type,Prefix
Morph_Type,Stem
Morph_Type,Suffix
Syntactic_Role,ACC_SPECIF
Syntactic_Role,ACRON
Syntactic_Role,ADJ
Syntactic_Role,ADV_PLCE
Syntactic_Role,ADV_TIME
Syntactic_Role,AGNT
Syntactic_Role,ANNUL_PART
Syntactic_Role,APPOS
Syntactic_Role,CERT_PART
Syntactic_Role,CIRCUM
Syntactic_Role,COGN
Syntactic_Role,COMIT
Syntactic_Role,COMPL
Syntactic_Role,CONJ
Syntactic_Role,CONJ_N
Syntactic_Role,CV
Syntactic_Role,CV_COP
Syntactic_Role,EXCP
Syntactic_Role,EXPLET
Syntactic_Role,GEN_CONS
Syntactic_Role,INTENCIF
Syntactic_Role,INTERJ_CV
Syntactic_Role,INTERJ_IV
Syntactic_Role,INTERJ_PV
Syntactic_Role,IV
Syntactic_Role,IV_COP
Syntactic_Role,IV_PASS
Syntactic_Role,NEG
Syntactic_Role,NEG_CAT
Syntactic_Role,NEG_MAA
Syntactic_Role,NEG_PROH
Syntactic_Role,NON_INFLECT
Syntactic_Role,NOUN_CONS
Syntactic_Role,NUM_COMP
Syntactic_Role,OBJ
Syntactic_Role,PART_CONDITION
Syntactic_Role,PART_COP_PRED
Syntactic_Role,PART_EXCEPT
Syntactic_Role,PART_INHIB
Syntactic_Role,PART_INTERROG
Syntactic_Role,PART_JUSSIVE
Syntactic_Role,PART_PREV
Syntactic_Role,PASS_SUBJ
Syntactic_Role,PRED
Syntactic_Role,PREP
Syntactic_Role,PREP_OBJ
Syntactic_Role,PURP
Syntactic_Role,SUBJ
Syntactic_Role,SUBJUNC_PART
Syntactic_Role,SUBJ_COP_PART
Syntactic_Role,SUBJ_COP_V
Syntactic_Role,SUBJ_DELA
Syntactic_Role,SUBJ_NEG_CAT
Syntactic_Role,SUBOR_ANN_CONJ
Syntactic_Role,SUBOR_CONJ
Syntactic_Role,SUBS_COG_ACC
Syntactic_Role,VOC
Syntactic_Role,VOC_PART
Syntactic_Role,V_COP_PRED
