ser,الوزن,CV,مثال
1,أَفْعَل,CVCCVC,أَسوَد
2,أَفْعَلَ,CVCCVCV,أَكْبَر
3,أَفْعِلَة,CVCCVCVC,أَكْلِبَة
4,اسْتَفْعَلَ,CVCCVCCVCV,اسْتَخْرَجَ
5,اسْتَفْعِلُوا,VVCCVCCVCVVVV,اسْتَغْفِرُوا
6,اسْتَفْعِلْ,CVCCVCCVC,اسْتَقْرِئْ
7,اسْتِفْعَال,CVCCVCCVVC,اسْتِعْمَال
8,افْتَعَلَ,CVCVCVV,اقْتَرَضَ
9,افْتَعِل,VVCCVCVC,اسْتَبِق
10,افْتَعِلْ,VVCCVCV,اعْتَمِدْ
11,افْتِعَال,VVCCVCVVC,افْتِخَار
12,افْعَلَلَّ,VVCCVCVCCV,اطْمَأَنّ
13,افْعَلَّ,CVCCVCCV,احْمَرَّ
14,افْعَلْ,VVCCVC,اقْرَأْ
15,افْعُ,VVCCV,اسْمُ
16,انْفَعَلَ,VVCCVCVCV,انْكَسَرَ
17,تَفَاعَلَ,CVCVVCVCV,تَعَاوَنَ
18,تَفَاعُل,CVCVVCVC,تَواصُل
19,تَفَعَّل,CVCVCCVCV,تَبَرَّأَ
20,تَفَعَّلَ,CVCVCCVCV,تَعَلَّمَ
21,تَفَعُّل,CVCVCCVC,تَعَلُّم
22,تَفْعِيل,CVCCVVC,تَقْطِيع
23,تَفْعِيلَة,CVCCVVCVC,تَعْلِيمَة
24,تَفْعِيلِيّ,CVCCVVCVCC,تَصْوِيرِيّ
25,عِ,CV,قِ
26,فَاعَلَ,CVVCVCV,كاتَبَ
27,فَاعِل,CVVCVC,صَابِر
28,فَاعِلِ,CVVCVCV,مَالِكِ
29,فَعَائِل,CVCVVCVC,عَجَائِز
30,فَعَالَى,CVCVVCVV,خَطَايَا
31,فَعَالِيَّة,CVCVVCVCCVC,عَمَالِيَّة
32,فَعَلَ,CVCVCV,قَرَأَ
33,فَعَلَة,CVCVCVC,عَبَدَة
34,فَعَلَّ,CVCVCCV,أَزَلَّ
35,فَعَلِيّ,CVCVCVCC,عَرَبِيّ
36,فَعَوْ,CVCVC,عَنَوْا
37,فَعَّال,CVCCVVC,غَفَّار
38,فَعَّالَة,CVCCVVCVC,كَمَّاشَة
39,فَعَّلَ,CVCCVCV,سَبَّحَ
40,فَعُلَ,CVCVCV,ضَعُفَ
41,فَعُو,CVCV,لَقُوا
42,فَعُولِيَّة,CVCVVCVCCVC,صُبُوحِيَّة
43,فَعِل,CVCVC,عَلِمَ
44,فَعِلَ,CVCVCV,فَهِمَ
45,فَعِيل,CVCVVC,رَحِيم
46,فَعِيلَة,CVCVVCVC,حَمِيدَة
