Group Number,Arabic Group Name,English Group Name,Operator,Purpose/Usage,Example,Note,project_effect_signature,project_usage_universal_ar,project_i3rab_template,project_quran_evidence_phrases,project_modules
1,الجر فقط الدلالية,Prepositions Only (Semantic),بِ,للدلالة على المرور أو القرب,مررت بزيد,الباء: حرف جر، زيد: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'وَ "" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', '"" الْبَاءُ "" حَرْفُ جَرٍّ زَائِدٌ مَبْنِيٌّ عَلَى الْكَسْرِ', 'وَالْمَصْدَرُ الْمُؤَوَّلُ مِنْ ( مَا ) : وَالْفِعْلِ مَجْرُورٌ بِالْبَاءِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),مِنْ,للدلالة على ابتداء الغاية الزمنية,سرت من البيت,من: حرف جر، البيت: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['وَ( مِنْ ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ', 'وَ( مِنْ ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ الْمُقَدَّرِ لِالْتِقَاءِ السَّاكِنَيْنِ.', '( مِنْ ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ', 'وَ( مِنْ ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ.', 'بَدَلٌ مِنْ ( هَذِهِ ) : مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),إِلَى,للدلالة على انتهاء الغاية الزمنية,سرت إلى البيت,إلى: حرف جر، البيت: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['( إِلَى ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ', 'وَ( إِلَى ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ.', 'وَ( إِلَى ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ', 'مُضَافٌ إِلَيْهِ مِنْ إِضَافَةِ اسْمِ الْفَاعِلِ إِلَى مَفْعُولِهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ', '"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),فِي,للدلالة على الظرفية,الماء في الكوز,في: حرف جر، الكوز: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['( فِي ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ', 'اسْمٌ ظَرْفِيٌّ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ', 'اسْمٌ ظَرْفِيٌّ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'وَ( فِي ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ.', 'وَ( الْعَاكِفِينَ ) : مَعْطُوفٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْيَاءُ لِأَنَّهُ جَمْعُ مُذَكَّرٍ سَالِمٌ.']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),عَنْ,للدلالة على المجاوزة,رميت السهم عن القوس,عن: حرف جر، القوس: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['( عَنْ ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ', 'وَ( عَنْ ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ الْمُقَدَّرِ لِالْتِقَاءِ السَّاكِنَيْنِ.', 'وَ( عَنْ ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ.', '"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),وَ,للدلالة على القسم,والله لأشربن,واو: حرف قسم، الله: اسم مجرور,OATH_GEN,حَرْفُ قَسَمٍ: يُسْتَعْمَلُ لِلقَسَمِ وَيَجُرُّ مَا بَعْدَهُ.,حَرْفُ قَسَمٍ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ.,"['"" الْوَاوُ "" حَرْفُ جَرٍّ وَقَسَمٍ مَبْنِيٌّ عَلَى الْفَتْحِ', 'وَ "" الْوَاوُ "" حَرْفُ جَرٍّ وَقَسَمٍ مَبْنِيٌّ عَلَى الْفَتْحِ', '"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),بِ,للدلالة على القسم,بالله لأفعلن,باء: حرف قسم، الله: اسم مجرور,OATH_GEN,حَرْفُ قَسَمٍ: يُسْتَعْمَلُ لِلقَسَمِ وَيَجُرُّ مَا بَعْدَهُ.,حَرْفُ قَسَمٍ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ.,"['"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'وَ "" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', '"" الْبَاءُ "" حَرْفُ جَرٍّ زَائِدٌ مَبْنِيٌّ عَلَى الْكَسْرِ', 'وَالْمَصْدَرُ الْمُؤَوَّلُ مِنْ ( مَا ) : وَالْفِعْلِ مَجْرُورٌ بِالْبَاءِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),تَ,للدلالة على القسم,تالله لأضربن زيدا,تاء: حرف قسم، الله: اسم مجرور,OATH_GEN,حَرْفُ قَسَمٍ: يُسْتَعْمَلُ لِلقَسَمِ وَيَجُرُّ مَا بَعْدَهُ.,حَرْفُ قَسَمٍ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ.,"['"" التَّاءُ "" حَرْفُ جَرٍّ وَقَسَمٍ مَبْنِيٌّ عَلَى الْفَتْحِ', 'وَ "" التَّاءُ "" حَرْفُ جَرٍّ وَقَسَمٍ مَبْنِيٌّ عَلَى الْفَتْحِ', '"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),لِ,للدلالة على الملكية,المال لزيد,اللام: حرف جر، زيد: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['"" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'وَ "" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْفَتْحِ', '"" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْفَتْحِ', 'وَ "" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'وَ "" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ.']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),رُبَّ,للدلالة على التقليل,رب رجل كريم لقيته,رب: حرف جر، رجل: اسم مجرور لفظًا,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ ثَانٍ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', '"" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
