Group Number,Arabic Group Name,English Group Name,Operator,Purpose/Usage,Example,Note,project_effect_signature,project_usage_universal_ar,project_i3rab_template,project_quran_evidence_phrases,project_modules
1,الجر فقط الدلالية,Prepositions Only (Semantic),بِ,للدلالة على المرور أو القرب,مررت بزيد,الباء: حرف جر، زيد: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"TYPE=JAR::1:1:بِسْمِ -> "" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( اسْمِ ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ، وَشِبْهُ الْجُمْلَةِ فِي مَحَلِّ نَصْبٍ مَفْعُولٌ بِهِ مُقَدَّمٌ لِفِعْلٍ مَحْذُوفٍ تَقْدِيرُهُ: "" أَبْتَدِئُ "". | TYPE=JAR::11:41:بِسْمِ -> "" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( اسْمِ ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ، وَشِبْهُ الْجُمْلَةِ فِي مَحَلِّ رَفْعٍ خَبَرٌ مُقَدَّمٌ. | TYPE=NASB_ADAT::2:61:بِمَا -> "" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( مَا ) : حَرْفٌ مَصْدَرِيٌّ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=NASB_ADAT::3:79:بِمَا -> "" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( مَا ) : حَرْفٌ مَصْدَرِيٌّ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=ZAAID::4:6:بِاللَّهِ -> "" الْبَاءُ "" حَرْفُ جَرٍّ زَائِدٌ مَبْنِيٌّ عَلَى الْكَسْرِ، وَاسْمُ الْجَلَالَةِ فَاعِلٌ مَجْرُورٌ لَفْظًا مَرْفُوعٌ مَحَلًّا وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ. | TYPE=ZAAID::4:45:بِاللَّهِ -> "" الْبَاءُ "" حَرْفُ جَرٍّ زَائِدٌ مَبْنِيٌّ عَلَى الْكَسْرِ، وَاسْمُ الْجَلَالَةِ فَاعِلٌ مَجْرُورٌ لَفْظًا مَرْفُوعٌ مَحَلًّا وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ. | TYPE=JAZM::7:132:بِمُؤْمِنِينَ -> "" الْبَاءُ "" حَرْفُ جَرٍّ زَائِدٌ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( مُؤْمِنِينَ ) : خَبَرُ كَانَ مَجْرُورٌ لَفْظًا مَنْصُوبٌ مَحَلًّا وَعَلَامَةُ جَرِّهِ الْيَاءُ لِأَنَّهُ جَمْعُ مُذَكَّرٍ سَالِمٌ، وَشِبْهُ الْجُمْلَةِ فِي مَحَلِّ نَصْبٍ خَبَرُ ( مَا ) :، وَجُمْلَةُ: ( مَا . . . ) : فِي مَحَلِّ جَزْمٍ جَوَابُ الشَّرْطِ، وَالشَّرْطُ وَجَوَابُهُ فِي مَحَلِّ رَفْعٍ خَبَرُ الْمُبْتَدَإِ ( مَهْمَا ) :. | TYPE=JAZM::8:16:بِغَضَبٍ -> "" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( غَضَبٍ ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ، وَجُمْلَةُ: ( فَقَدْ بَاءَ . . . ) : فِي مَحَلِّ جَزْمٍ جَوَابُ الشَّرْطِ، وَالشَّرْطُ وَجَوَابُهُ فِي مَحَلِّ رَفْعٍ خَبَرُ الْمُبْتَدَإِ ( مَنْ ) :. | TYPE=OTHER::2:22:بِنَاءً -> مَعْطُوفٌ عَلَى ( فِرَاشًا ) : مَنْصُوبٌ وَعَلَامَةُ نَصْبِهِ الْفَتْحَةُ الظَّاهِرَةُ. | TYPE=OTHER::40:64:بِنَاءً -> مَفْعُولٌ بِهِ ثَانٍ مَنْصُوبٌ وَعَلَامَةُ نَصْبِهِ الْفَتْحَةُ الظَّاهِرَةُ.",
1,الجر فقط الدلالية,Prepositions Only (Semantic),مِنْ,للدلالة على ابتداء الغاية الزمنية,سرت من البيت,من: حرف جر، البيت: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,TYPE=JAR::2:4:مِنْ -> حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=JAR::2:5:مِنْ -> حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=ZAAID::2:102:مِنْ -> حَرْفُ جَرٍّ زَائِدٌ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=ZAAID::2:105:مِنْ -> حَرْفُ جَرٍّ زَائِدٌ مَبْنِيٌّ عَلَى السُّكُونِ.,
1,الجر فقط الدلالية,Prepositions Only (Semantic),إِلَى,للدلالة على انتهاء الغاية الزمنية,سرت إلى البيت,إلى: حرف جر، البيت: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,TYPE=JAR::2:14:إِلَى -> حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=JAR::2:29:إِلَى -> حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ.,
1,الجر فقط الدلالية,Prepositions Only (Semantic),فِي,للدلالة على الظرفية,الماء في الكوز,في: حرف جر، الكوز: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,TYPE=JAR::2:10:فِي -> حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=JAR::2:11:فِي -> حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=JAZM::46:32:فِي -> حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ، وَجُمْلَةُ: ( لَيْسَ . . . ) : فِي مَحَلِّ جَزْمٍ جَوَابُ الشَّرْطِ، وَالشَّرْطُ وَجَوَابُهُ فِي مَحَلِّ رَفْعٍ خَبَرُ الْمُبْتَدَإِ ( مَنْ ) :.,
1,الجر فقط الدلالية,Prepositions Only (Semantic),عَنْ,للدلالة على المجاوزة,رميت السهم عن القوس,عن: حرف جر، القوس: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,TYPE=JAR::2:48:عَنْ -> حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=JAR::2:119:عَنْ -> حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ.,
1,الجر فقط الدلالية,Prepositions Only (Semantic),وَ,للدلالة على القسم,والله لأشربن,واو: حرف قسم، الله: اسم مجرور,OATH_GEN,حَرْفُ قَسَمٍ: يُفِيدُ القَسَمَ وَيَجُرُّ مَا بَعْدَهُ.,حَرْفُ قَسَمٍ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ.,"TYPE=ATAF::1:5:وَإِيَّاكَ -> "" الْوَاوُ "" حَرْفُ عَطْفٍ مَبْنِيٌّ عَلَى الْفَتْحِ، وَ( إِيَّاكَ ) : ضَمِيرٌ مُنْفَصِلٌ مَبْنِيٌّ عَلَى السُّكُونِ فِي مَحَلِّ نَصْبٍ مَفْعُولٌ بِهِ مُقَدَّمٌ لِلِاخْتِصَاصِ. | TYPE=ATAF::1:7:وَلَا -> "" الْوَاوُ "" حَرْفُ عَطْفٍ مَبْنِيٌّ عَلَى الْفَتْحِ، وَ( لَا ) : حَرْفُ نَفْيٍ زَائِدٌ لِلتَّأْكِيدِ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=NAFY::1:7:وَلَا -> "" الْوَاوُ "" حَرْفُ عَطْفٍ مَبْنِيٌّ عَلَى الْفَتْحِ، وَ( لَا ) : حَرْفُ نَفْيٍ زَائِدٌ لِلتَّأْكِيدِ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=NAFY::2:38:وَلَا -> "" الْوَاوُ "" حَرْفُ عَطْفٍ مَبْنِيٌّ عَلَى الْفَتْحِ، وَ( لَا ) : حَرْفُ نَفْيٍ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=ZAAID::1:7:وَلَا -> "" الْوَاوُ "" حَرْفُ عَطْفٍ مَبْنِيٌّ عَلَى الْفَتْحِ، وَ( لَا ) : حَرْفُ نَفْيٍ زَائِدٌ لِلتَّأْكِيدِ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=ZAAID::4:168:وَلَا -> "" الْوَاوُ "" حَرْفُ عَطْفٍ مَبْنِيٌّ عَلَى الْفَتْحِ، وَ( لَا ) : حَرْفُ نَفْيٍ زَائِدٌ لِلتَّأْكِيدِ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=JAZM::2:35:وَلَا -> "" الْوَاوُ "" حَرْفُ عَطْفٍ مَبْنِيٌّ عَلَى الْفَتْحِ، وَ( لَا ) : حَرْفُ نَهْيٍ وَجَزْمٍ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=JAZM::2:41:وَلَا -> "" الْوَاوُ "" حَرْفُ عَطْفٍ مَبْنِيٌّ عَلَى الْفَتْحِ، وَ( لَا ) : حَرْفُ نَهْيٍ وَجَزْمٍ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=JAR::2:3:وَمِمَّا -> "" الْوَاوُ "" حَرْفُ عَطْفٍ مَبْنِيٌّ عَلَى الْفَتْحِ، وَ( مِنْ ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ، وَ( مَا ) : اسْمٌ مَوْصُولٌ مَبْنِيٌّ عَلَى السُّكُونِ فِي مَحَلِّ جَرٍّ بِالْحَرْفِ، وَشِبْهُ الْجُمْلَةِ مُتَعَلِّقٌ بِـ( يُنْفِقُونَ ) :. | TYPE=JAR::2:267:وَمِمَّا -> "" الْوَاوُ "" حَرْفُ عَطْفٍ مَبْنِيٌّ عَلَى الْفَتْحِ، وَ( مِنْ ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ، وَ( مَا ) : اسْمٌ مَوْصُولٌ مَبْنِيٌّ عَلَى السُّكُونِ فِي مَحَلِّ جَرٍّ بِالْحَرْفِ.",
1,الجر فقط الدلالية,Prepositions Only (Semantic),بِ,للدلالة على القسم,بالله لأفعلن,باء: حرف قسم، الله: اسم مجرور,OATH_GEN,حَرْفُ قَسَمٍ: يُفِيدُ القَسَمَ وَيَجُرُّ مَا بَعْدَهُ.,حَرْفُ قَسَمٍ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ.,"TYPE=JAR::1:1:بِسْمِ -> "" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( اسْمِ ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ، وَشِبْهُ الْجُمْلَةِ فِي مَحَلِّ نَصْبٍ مَفْعُولٌ بِهِ مُقَدَّمٌ لِفِعْلٍ مَحْذُوفٍ تَقْدِيرُهُ: "" أَبْتَدِئُ "". | TYPE=JAR::11:41:بِسْمِ -> "" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( اسْمِ ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ، وَشِبْهُ الْجُمْلَةِ فِي مَحَلِّ رَفْعٍ خَبَرٌ مُقَدَّمٌ. | TYPE=NASB_ADAT::2:61:بِمَا -> "" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( مَا ) : حَرْفٌ مَصْدَرِيٌّ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=NASB_ADAT::3:79:بِمَا -> "" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( مَا ) : حَرْفٌ مَصْدَرِيٌّ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=ZAAID::4:6:بِاللَّهِ -> "" الْبَاءُ "" حَرْفُ جَرٍّ زَائِدٌ مَبْنِيٌّ عَلَى الْكَسْرِ، وَاسْمُ الْجَلَالَةِ فَاعِلٌ مَجْرُورٌ لَفْظًا مَرْفُوعٌ مَحَلًّا وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ. | TYPE=ZAAID::4:45:بِاللَّهِ -> "" الْبَاءُ "" حَرْفُ جَرٍّ زَائِدٌ مَبْنِيٌّ عَلَى الْكَسْرِ، وَاسْمُ الْجَلَالَةِ فَاعِلٌ مَجْرُورٌ لَفْظًا مَرْفُوعٌ مَحَلًّا وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ. | TYPE=JAZM::7:132:بِمُؤْمِنِينَ -> "" الْبَاءُ "" حَرْفُ جَرٍّ زَائِدٌ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( مُؤْمِنِينَ ) : خَبَرُ كَانَ مَجْرُورٌ لَفْظًا مَنْصُوبٌ مَحَلًّا وَعَلَامَةُ جَرِّهِ الْيَاءُ لِأَنَّهُ جَمْعُ مُذَكَّرٍ سَالِمٌ، وَشِبْهُ الْجُمْلَةِ فِي مَحَلِّ نَصْبٍ خَبَرُ ( مَا ) :، وَجُمْلَةُ: ( مَا . . . ) : فِي مَحَلِّ جَزْمٍ جَوَابُ الشَّرْطِ، وَالشَّرْطُ وَجَوَابُهُ فِي مَحَلِّ رَفْعٍ خَبَرُ الْمُبْتَدَإِ ( مَهْمَا ) :. | TYPE=JAZM::8:16:بِغَضَبٍ -> "" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( غَضَبٍ ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ، وَجُمْلَةُ: ( فَقَدْ بَاءَ . . . ) : فِي مَحَلِّ جَزْمٍ جَوَابُ الشَّرْطِ، وَالشَّرْطُ وَجَوَابُهُ فِي مَحَلِّ رَفْعٍ خَبَرُ الْمُبْتَدَإِ ( مَنْ ) :. | TYPE=OTHER::2:22:بِنَاءً -> مَعْطُوفٌ عَلَى ( فِرَاشًا ) : مَنْصُوبٌ وَعَلَامَةُ نَصْبِهِ الْفَتْحَةُ الظَّاهِرَةُ. | TYPE=OTHER::40:64:بِنَاءً -> مَفْعُولٌ بِهِ ثَانٍ مَنْصُوبٌ وَعَلَامَةُ نَصْبِهِ الْفَتْحَةُ الظَّاهِرَةُ.",
1,الجر فقط الدلالية,Prepositions Only (Semantic),تَ,للدلالة على القسم,تالله لأضربن زيدا,تاء: حرف قسم، الله: اسم مجرور,OATH_GEN,حَرْفُ قَسَمٍ: يُفِيدُ القَسَمَ وَيَجُرُّ مَا بَعْدَهُ.,حَرْفُ قَسَمٍ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ.,,
1,الجر فقط الدلالية,Prepositions Only (Semantic),لِ,للدلالة على الملكية,المال لزيد,اللام: حرف جر، زيد: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"TYPE=JAR::1:2:لِلَّهِ -> "" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَاسْمُ الْجَلَالَةِ اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ، وَشِبْهُ الْجُمْلَةِ فِي مَحَلِّ رَفْعٍ خَبَرُ الْمُبْتَدَإِ. | TYPE=JAR::2:22:لِلَّهِ -> "" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَاسْمُ الْجَلَالَةِ اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ. | TYPE=NASB_ADAT::2:165:لِلَّهِ -> "" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَاسْمُ الْجَلَالَةِ اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ، وَشِبْهُ الْجُمْلَةِ فِي مَحَلِّ رَفْعٍ خَبَرُ ( أَنَّ ) :، وَالْمَصْدَرُ الْمُؤَوَّلُ ( أَنَّ الْقُوَّةَ . . . ) : فِي مَحَلِّ نَصْبٍ سَدَّ مَسَدَّ مَفْعُولَيْ ( يَرَى ) :. | TYPE=NASB_ADAT::18:12:لِمَا -> "" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( مَا ) : حَرْفٌ مَصْدَرِيٌّ ظَرْفِيٌّ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=NAFY::2:150:لِئَلَّا -> "" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( أَنْ ) : حَرْفُ نَصْبٍ وَمَصْدَرِيَّةٍ مَبْنِيٌّ عَلَى السُّكُونِ، وَ( لَا ) : حَرْفُ نَفْيٍ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=NAFY::4:165:لِئَلَّا -> "" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( أَنْ ) : حَرْفُ نَصْبٍ وَمَصْدَرِيَّةٍ مَبْنِيٌّ عَلَى السُّكُونِ، وَ( لَا ) : حَرْفُ نَفْيٍ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=ZAAID::57:29:لِئَلَّا -> "" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( أَنْ ) : حَرْفُ نَصْبٍ وَمَصْدَرِيَّةٍ مَبْنِيٌّ عَلَى السُّكُونِ، وَ( لَا ) : حَرْفُ نَفْيٍ زَائِدٌ لِلتَّأْكِيدِ مَبْنِيٌّ عَلَى السُّكُونِ. | TYPE=ZAAID::8:51:لِلْعَبِيدِ -> "" اللَّامُ "" حَرْفُ جَرٍّ زَائِدٌ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( الْعَبِيدِ ) : مَفْعُولٌ بِهِ مَجْرُورٌ لَفْظًا مَنْصُوبٌ مَحَلًّا مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ، وَجُمْلَةُ: ( لَيْسَ بِظَلَّامٍ لِلْعَبِيدِ ) : فِي مَحَلِّ رَفْعٍ خَبَرُ ( أَنَّ ) :، وَالْمَصْدَرُ الْمُؤَوَّلُ ( أَنَّ اللَّهَ . . . ) : فِي مَحَلِّ جَرٍّ مَعْطُوفٌ عَلَى ( مَا قَدَّمَتْ ) :. | TYPE=ISTIFHAM::6:12:لِمَنْ -> "" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( مَنْ ) : اسْمُ اسْتِفْهَامٍ مَبْنِيٌّ عَلَى السُّكُونِ فِي مَحَلِّ جَرٍّ بِالْحَرْفِ، وَشِبْهُ الْجُمْلَةِ فِي مَحَلِّ رَفْعٍ خَبَرٌ مُقَدَّمٌ. | TYPE=ISTIFHAM::13:42:لِمَنْ -> "" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ، وَ( مَنْ ) : اسْمُ اسْتِفْهَامٍ مَبْنِيٌّ عَلَى السُّكُونِ فِي مَحَلِّ جَرٍّ بِالْحَرْفِ، وَشِبْهُ الْجُمْلَةِ فِي مَحَلِّ رَفْعٍ خَبَرٌ مُقَدَّمٌ.",
1,الجر فقط الدلالية,Prepositions Only (Semantic),رُبَّ,للدلالة على التقليل,رب رجل كريم لقيته,رب: حرف جر، رجل: اسم مجرور لفظًا,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,,
