"id","preposition","meaning","example","is_deleted","syntactic_effect","semantic_logical","edit_by","created_at","updated_at"
"1","بِ ( البَاءُ)","*الإلصاق حقيقياً","أَمْسَكْتُ بِيَدِكَ","0",NULL,NULL,"5",NULL,"2025-05-22 16:10:24"
"2","بِ ( البَاءُ)","* الإلصاق مجازياً","مَرَرْتُ بِدَارِكَ","0",NULL,NULL,"5",NULL,"2025-05-22 16:10:30"
"3","بِ ( البَاءُ)","* الاستعانة","أَكَلْتُ بِالْمِلْعَقَةِ","0",NULL,NULL,"5",NULL,"2025-05-22 16:10:37"
"4","بِ ( البَاءُ)","* السببية والتعليل","بِظُلْمِكَ قُوطِعْتُ","0",NULL,NULL,"5",NULL,"2025-05-22 16:10:44"
"5","بِ ( البَاءُ)","* التعدية","ذَهَبْتَ بِسِحْرِكَ.","0",NULL,NULL,"5",NULL,"2025-05-22 16:10:52"
"6","بِ ( البَاءُ)","* العوض أو المقابلة","خُذِ الْكِتَابَ بِالدَّفْتَرِ أَوْ بِدِينَارٍ","0",NULL,NULL,"5",NULL,"2025-05-22 16:11:01"
"7","بِ ( البَاءُ)","* البدل ""أي بلا مقابلة""","لَيْتَ لَهُ بِمَالِهِ عَافِيَةً.","0",NULL,NULL,"5",NULL,"2025-05-22 16:11:11"
"8","بِ ( البَاءُ)","* الظرفية","مَرَرْتُ بِدِمَشْقَ بِاللَّيْلِ.","0",NULL,NULL,"6",NULL,"2025-07-16 17:02:29"
"9","بِ ( البَاءُ)","* المصاحبة","اِذْهَبْ بِسَلَامٍ.","0",NULL,NULL,"5",NULL,"2025-05-22 16:11:31"
"10","بِ ( البَاءُ)","* القسم","أَقْسَمْتُ بِاللَّهِ، بِاللَّهِ لَأُسَافِرَنَّ.","0",NULL,NULL,"5",NULL,"2025-05-22 15:14:26"
"11","تَ ( تَاءُ الْقَسَمِ )","تختص التاء بثلاث كلمات هي: ""تالله، تربَ الكعبة، تربيِّ"" فهي أقل حروف الجر استعمالاً.","قوله تعالى:{ تَاللَّهِ لَتُسْأَلُنَّ عَمَّا كُنتُمْ تَفْتَرُونَ }.","0",NULL,NULL,"6",NULL,"2025-07-16 17:04:00"
"12","وَ ( وَاوُ الْقَسَمِ)","*أما الواو فتدخل على مقسم به ظاهر مثل: ""والله وفي القرآن مثل:﴿وَالشَّمْسِ وَضُحَاهَا﴾","﴿وَالشَّمْسِ وَضُحَاهَا﴾","0",NULL,NULL,"5",NULL,"2025-05-22 16:12:28"
"13","كَ (الْكَافُ)","* غالباً تأتي بمعنى (التشبيه)","صَرَخَ كَالْأَسَدِ.","0",NULL,NULL,"5",NULL,"2025-05-22 16:12:57"
"14","كَ (الْكَافُ)","* تأتي أحياناً بمعنى (على)","كُنْ كَمَا أَنْتَ.","0",NULL,NULL,"5",NULL,"2025-05-22 16:13:46"
"15","كَ (الْكَافُ)","* تأتي للتعليل","قوله تعالى: (وَاذْكُرُوهُ كَما هَداكُمْ).","0",NULL,NULL,"5",NULL,"2025-05-22 16:14:17"
"16","عَنْ","المجاوزة والبعد","سِرْتُ عَنْ قَرْيَتِي رَاغِبًا عَنْهَا.","0",NULL,NULL,"5",NULL,"2025-05-22 16:15:05"
"17","عَنْ","* تأتي بمعنى بعد","سَأَصِلُ عَمَّا قَلِيلٍ.","0",NULL,NULL,"5",NULL,"2025-05-22 16:16:00"
"18","عَنْ","* للبدلية","أَجِبْ عَنِّي.","0",NULL,NULL,"5",NULL,"2025-05-22 16:16:40"
"19","عن",,,"1",NULL,NULL,"6",NULL,"2025-04-22 11:26:09"
"20","فِي ْ","الظرفية حقيقة","أَقَمْتُ فِي الْعِيدِ فِي دِمَشْقَ.","0",NULL,NULL,"5",NULL,"2025-05-22 16:17:25"
"21","فِي","* الظرفية المجازية","(وَلَكُمْ فِي الْقِصَاصِ حَيَاةٌ).","0",NULL,NULL,"5",NULL,"2025-05-22 16:18:03"
"22","فِيْ","* للتعليل","دَخَلَتِ النَّارَ امْرَأَةٌ فِي هِرَّةٍ حَبَسَتْهَا.","0",NULL,NULL,"5",NULL,"2025-05-22 16:33:18"
"23","مُذْ وَ مُنْذُ","* تكونان حرفي جر تفيدان ابتداء الغاية إن كان الزمان ماضياً","لَمْ أُكَلِّمْهُ مُنْذُ ثَلَاثَةِ أَيَّامٍ.","0",NULL,NULL,"5",NULL,"2025-05-22 16:34:52"
"24","مُذْ وَ مُنْذُ","* تكونان بمعنى ""في"" إن كان الزمان حاضراً","مَا سَمِعْتُ صَوْتَكَ مُذْ يَوْمِي هَذَا.","0",NULL,NULL,"5",NULL,"2025-05-22 16:35:34"
"25","لِ ( اللَام )","* الاختصاص","اَلْحَمْدُ لِلَّهِ، اَلْكِتَابُ لِي، اَلسَّرْجُ لِلْفَرَسِ.","0",NULL,NULL,"5",NULL,"2025-05-22 16:36:39"
"26","لِ ( اللَام )","* التعليل","سَافَرْتُ لِلِاسْتِجْمَامِ.","0",NULL,NULL,"5",NULL,"2025-05-22 16:37:41"
"27","لِ ( اللَام )","* انتهاء الغاية","عُدْتُ لِدَارِي، أُخِّرْتُ لِأَجَلٍ.","0",NULL,NULL,"5",NULL,"2025-05-22 16:38:21"
"28","لِ ( اللَام )","* الصيرورة","لِدُوا لِلْمَوْتِ وَابْنُوا لِلْخَرَابِ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:08:11"
"29","لِ ( اللَام )","* الظرفية","صوموا لرؤيته (أي وقت رؤيته)، مضى لسبيله.","0",NULL,NULL,"5",NULL,"2025-05-22 18:09:16"
"30","لَ( اللَام )","* الاستغاثة","يَا لَلْأَغْنِيَاءِ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:14:04"
"31","لَ ( اللَام )","* التعجب","يَا لَلرَّوْعَةِ!","0",NULL,NULL,"5",NULL,"2025-05-22 18:15:28"
