"id","tool","parsing","syntactic_function","meaning_usage","work_condition","example","is_deleted","edit_by","created_at","updated_at"
"1","أََنْ","حرف مصدر ونصبٍ واستقبال.","تنصب الفعل المضارع بعدها، وتؤول مع الفعل بمصدر.","مصدرية، استقبال.","بدون شرط.","أُرِيدُ أَنْ أَتَعَلَّمَ.","0","5",NULL,"2025-05-22 18:38:47"
"2","لَنْ","حرف نفي ونصب واستقبال.","تنفي الفعل المضارع مع نصبه.","نفي وقوع الفعل في المستقبل.","بدون شرط.","لَنْ يَنْجَحَ الْمُهْمِلُ .","0","5",NULL,"2025-05-22 18:39:06"
"3","إِذَنْ","حرف نصبٍ وجوابٍ وجزاءٍ.","تنصب الفعل المضارع بشروط: جوابًا لما قبلها ودلالة استقبال وعدم الفصل.","الجواب والجزاء.","أن تكون متصدرة، أو متصلة، مع دلالة استقبال.","إِذَنْ أُكْرِمَكَ.","0","5",NULL,"2025-05-22 18:39:36"
"4","كَيْ","حرف مصدرٍ ونصبٍ.","تنصب المضارع بعدها، وتؤول مع الفعل بمصدر.","تعليل، وأحيانًا بمعنى ""لكي"".","بدون شرط.","اجْتَهِدْ كَيْ تَنْجَحَ.","0","5",NULL,"2025-05-22 18:41:21"
"5","لِ ( اللام)","حرف مصدرٍ ونصبٍ (وتسمى لام التعليل).","تنصب المضارع بعدها.","تعليل.","بدون شرط.","أَدْرُسُ لِأُتْقِنَ الْعَرَبِيَّةَ.","0","5",NULL,"2025-05-22 18:40:18"
"6","لِ ( لَامُ الجُحُودِ)","حرف مصدرٍ ونصبٍ مسبوق بـ""ما كان"" أو ""لم يكن"".","تنصب المضارع بعدها.","نفي مؤكد مع الجحود والامتناع.","أن تسبقها ""ما كان"" أو ""لم يكن"".","مَا كَانَ زَيْدٌ لِيَخُونَ.","0","5",NULL,"2025-05-22 18:40:37"
"7","حَتَّى","حرف غايةٍ وجرٍ ونصبٍ.","تنصب المضارع إذا أفادت الاستقبال والغاية.","غاية أو تعليل.","أن تفيد الاستقبال.","لَا أَخْرُجُ حَتَّى أُصَلِّيَ الْفَجْرَ.","0","7",NULL,"2025-05-19 00:30:59"
"8","فَ (فاء السببية)","حرف عطفٍ وسببيةٍ.","تنصب المضارع بعدها إذا سبقتها جملة طلبية أو نفي.","تفيد ترتيب وسببية بين الطلب والجواب.","أن يكون قبلها طلبٌ أو نفيٌ.","اجْتَهِدْ فَتَفْلَحَ","0","5",NULL,"2025-05-22 18:39:54"
"9","وَ (واو المعية المضمرة بعدها أنْ)","حرف معيةٍ.","المضارع بعدها منصوب بأن مضمرة وجوبًا.","المعية والاقتران.","أنْ يكون ما قبلها طلبٌ أو نفي.","لَا تَمْشِ وَتَتَكَلَّمَ.","0","5",NULL,"2025-05-22 18:41:03"
"10","أَوْ (في جواب الطلب أو النفي)","حرفُ عطفٍ.","تنصف الفعل  بـ""أن"" مضمرة .","تفيد أحد الأمرين في سياق الطلب أو النفي.","أن يكون قبلها طلب أو نفي.","لَا تُهْمِلْ أَوْ تَخْسَرَ.","0","5",NULL,"2025-05-22 18:38:32"
