Segment,Start,End,Length,Is_Fibonacci,Fibonacci_Value,Cohesion,First_Verse,Last_Verse
1,1,2,2,,,0.225,"بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ","الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ"
2,3,4,2,,,0.212,"الرَّحْمَنِ الرَّحِيمِ","مَالِكِ يَوْمِ الدِّينِ"
3,5,6,2,,,0.169,"إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ","اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ"
4,7,8,2,,,0.201,"صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْ...","بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ الم"
5,9,10,2,,,0.260,"ذَلِكَ الْكِتَابُ لَا رَيْبَ فِيهِ  هُدًى لِّلْمُت...","الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الص..."
6,11,12,2,,,0.218,"وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَم...","أُولَئِكَ عَلَى هُدًى مِّن رَّبِّهِمْ  وَأُولَئِكَ..."
7,13,14,2,,,0.300,"إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذ...","خَتَمَ اللَّهُ عَلَى قُلُوبِهِمْ وَعَلَى سَمْعِهِم..."
8,15,16,2,,,0.254,"وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِ...","يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخ..."
9,17,18,2,,,0.249,"فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضاً...","وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ ..."
10,19,21,3,✓,3,0.263,"أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَكِن لَّا ي...","وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا و..."
11,22,23,2,,,0.193,"اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْ...","أُولَئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْه..."
12,24,25,2,,,0.103,"مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَاراً فَل...","صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ"
13,26,27,2,,,0.188,"أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَ...","يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ  كُلَّمَا..."
14,28,29,2,,,0.215,"يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي ...","الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشاً وَالسَّمَ..."
15,30,31,2,,,0.158,"وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَى ...","فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا..."
