Root,Word,Count,Verse_Numbers,Sample_Verse
قرأ,قَرْيَةٍ,19,"266, 912, 958, 1048, 1806",أَوْ كَالَّذِي مَرَّ عَلَى قَرْيَةٍ وَهِيَ خَاوِيَةٌ عَلَى عُرُوشِهَا قَالَ أَنَّى يُحْيِي هَذِهِ ال
قرأ,قَرِيباً,9,"1277, 1738, 2080, 3596, 4601",لَوْ كَانَ عَرَضاً قَرِيباً وَسَفَراً قَاصِداً لَّاتَّبَعُوكَ وَلَكِن بَعُدَتْ عَلَيْهِمُ الشُّقَّةُ
قرأ,قَرِيبٌ,8,"193, 221, 1010, 1534, 1537",وَإِذَا سَأَلَكَ عِبَادِي عَنِّي فَإِنِّي قَرِيبٌ <sel> أُجِيبُ دَعْوَةَ الدَّاعِ إِذَا دَعَانِ <sel
قرأ,الْقَرْيَةِ,7,"568, 1117, 2557, 2895, 3371",وَمَا لَكُمْ لَا تُقَاتِلُونَ فِي سَبِيلِ اللَّهِ وَالْمُسْتَضْعَفِينَ مِنَ الرِّجَالِ وَالنِّسَاءِ 
قرأ,الْقُرُونِ,7,"1589, 2046, 2399, 2476, 3330",فَلَوْلَا كَانَ مِنَ الْقُرُونِ مِن قَبْلِكُمْ أُولُو بَقِيَّةٍ يَنْهَوْنَ عَنِ الْفَسَادِ فِي الْأَ
قرأ,قَرِيبٍ,6,"510, 570, 1794, 3657, 4671",إِنَّمَا التَّوْبَةُ عَلَى اللَّهِ لِلَّذِينَ يَعْمَلُونَ السُّوءَ بِجَهَالَةٍ ثُمَّ يَتُوبُونَ مِن 
قرأ,وَقْراً,4,"814, 2075, 2197, 3476",وَمِنْهُم مَّن يَسْتَمِعُ إِلَيْكَ <sel> وَجَعَلْنَا عَلَى قُلُوبِهِمْ أَكِنَّةً أَن يَفْقَهُوهُ وَف
قرأ,قَرَارٍ,4,"1776, 2686, 2723, 5643",وَمَثَلُ كَلِمَةٍ خَبِيثَةٍ كَشَجَرَةٍ خَبِيثَةٍ اجْتُثَّتْ مِن فَوْقِ الْأَرْضِ مَا لَهَا مِن قَرَا
قرأ,الْقَرْيَةَ,3,"65, 1115, 1678",وَإِذْ قُلْنَا ادْخُلُوا هَذِهِ الْقَرْيَةَ فَكُلُوا مِنْهَا حَيْثُ شِئْتُمْ رَغَداً وَادْخُلُوا الْ
قرأ,لِلْفُقَرَاءِ,3,"280, 1295, 5134",لِلْفُقَرَاءِ الَّذِينَ أُحْصِرُوا فِي سَبِيلِ اللَّهِ لَا يَسْتَطِيعُونَ ضَرْباً فِي الْأَرْضِ يَحْ
قرأ,فَعَقَرُوهَا,3,"1538, 3089, 6057",فَعَقَرُوهَا فَقَالَ تَمَتَّعُوا فِي دَارِكُمْ ثَلَاثَةَ أَيَّامٍ <sel> ذَلِكَ وَعْدٌ غَيْرُ مَكْذُو
قرأ,قَرْيَةً,3,"2013, 2045, 3193",وَضَرَبَ اللَّهُ مَثَلاً قَرْيَةً كَانَتْ آمِنَةً مُّطْمَئِنَّةً يَأْتِيهَا رِزْقُهَا رَغَداً مِّن ك
قرأ,قَرِيناً,2,"531, 531",وَالَّذِينَ يُنفِقُونَ أَمْوَالَهُمْ رِئَاءَ النَّاسِ وَلَا يُؤْمِنُونَ بِاللَّهِ وَلَا بِالْيَوْمِ 
قرأ,قَرْيَتِكُمْ,2,"1036, 3215",وَمَا كَانَ جَوَابَ قَوْمِهِ إِلَّا أَن قَالُوا أَخْرِجُوهُم مِّن قَرْيَتِكُمْ <sel> إِنَّهُمْ أُنَا
قرأ,الْقُرُونَ,2,"1377, 3295",وَلَقَدْ أَهْلَكْنَا الْقُرُونَ مِن قَبْلِكُمْ لَمَّا ظَلَمُوا وَجَاءَتْهُمْ رُسُلُهُم بِالْبَيِّنَا
قرأ,يَقْرَءُونَ,2,"1458, 2100",فَإِن كُنتَ فِي شَكٍّ مِّمَّا أَنزَلْنَا إِلَيْكَ فَاسْأَلِ الَّذِينَ يَقْرَءُونَ الْكِتَابَ مِن قَب
قرأ,بَقَرَاتٍ,2,"1639, 1642",وَقَالَ الْمَلِكُ إِنِّي أَرَى سَبْعَ بَقَرَاتٍ سِمَانٍ يَأْكُلُهُنَّ سَبْعٌ عِجَافٌ وَسَبْعَ سُنبُل
قرأ,الْقَرَارُ,2,"1779, 4030",جَهَنَّمَ يَصْلَوْنَهَا <sel> وَبِئْسَ الْقَرَارُ
قرأ,عَاقِراً,2,"2255, 2258",وَإِنِّي خِفْتُ الْمَوَالِيَ مِن وَرَائِي وَكَانَتِ امْرَأَتِي عَاقِراً فَهَبْ لِي مِن لَّدُنكَ وَلِ
قرأ,أَقَرِيبٌ,2,"2592, 5472",فَإِن تَوَلَّوْا فَقُلْ آذَنتُكُمْ عَلَى سَوَاءٍ <sel> وَإِنْ أَدْرِي أَقَرِيبٌ أَم بَعِيدٌ مَّا تُو
قرأ,قُرُوناً,2,"2715, 3297",ثُمَّ أَنشَأْنَا مِن بَعْدِهِمْ قُرُوناً آخَرِينَ
قرأ,مُسْتَقَرّاً,2,"2921, 2931",إِنَّهَا سَاءَتْ مُسْتَقَرّاً وَمُقَاماً
قرأ,قَرَاراً,2,"3220, 4197",أَمَّن جَعَلَ الْأَرْضَ قَرَاراً وَجَعَلَ خِلَالَهَا أَنْهَاراً وَجَعَلَ لَهَا رَوَاسِيَ وَجَعَلَ بَ
قرأ,الْفُقَرَاءُ,2,"3675, 4583",يَا أَيُّهَا النَّاسُ أَنتُمُ الْفُقَرَاءُ إِلَى اللَّهِ <sel> وَاللَّهُ هُوَ الْغَنِيُّ الْحَمِيدُ
قرأ,قَرِينٌ,2,"3839, 4361",قَالَ قَائِلٌ مِّنْهُمْ إِنِّي كَانَ لِي قَرِينٌ
قرأ,قَرِينُهُ,2,"4653, 4657",وَقَالَ قَرِينُهُ هَذَا مَا لَدَيَّ عَتِيدٌ
