"id","name","name_without_harakat","word_type_id","transliteration","pronunciation","meaning","definition","category_id","syntactic_effect_id","semantic_logical_effect_id","morphological_form","typical_nisbah","primary_usage","grammatical_function","position","connective_form","is_classical","notes","status","created_at","updated_at","is_deleted","edit_by","quran_typing"
"201","لَا","لا",NULL,"la","lā","لَا النافية للوحدة تعمل عمل ليس","لَا النافية للوحدة وليس للمجموع ، أي تنفي وجود الواحد وتُثبت الأكثر، مثل: (لا طالبٌ في الفصلِ) العاملة عمل ليس .","18","1","1","حرف","تنفي وجود الواحد وتُثبت الأكثر في الجملة الاسمية","تنفي وجود الواحد وتُثبت الأكثر",".","start","standalone","1","1- لا العاملة عمل ليس ،  حرف نفي، وهي نافية للوحدة وليس للمجموع، أي تنفي وجود الواحد وتُثبت الأكثر، مثل: (لا طالبٌ في الفصلِ)، والتي تعني ليس في الفصل طالب واحد، بل في الفصل أكثر، طالبان أو ثلاثة أو أكثر، وعندما نقول ""لا طالبٌ مهملًا"" فإننا ننفي وجود طالب واحد مهمل، وعندما نقول ""لا قلمٌ معي"" فإننا ننفي وحدة من مجموعة وحدات أُخرى، فقد ننفي وجود قلم أسود، بينما يوجد ألوان أُخرى من الأقلام
2- شروط عمل لا العاملة عمل ليس
تعمل (لا) عمل ليس إذا توفر فيها ثلاثة شروط:[٨]
أنْ يكونَ اسمها وخبرها نكرتين: مثل: (لا كسولٌ ناجحًا)، (لا رجلُ أفضلَ منك).
أن يتقدمَ اسمها على خبرها: فإذا تقدّم الخبر على الاسم تعود الجملة إلى أصلها وهو مبتدأ وخبر، فلا نقول ""لا ناجحًا كسولٌ""، بل نقول ""لا ناجحٌ كسولٌ"".
ألا يقترن خبرها بإلا: ففي حال اقترن خبرها بـ ""إلا""، لا تعمل عمل ليس وتعود الجملة إلى أصلها وهو مبتدأ وخبر، فلا نقول ""لا كسولٌ إلا ناجحًا"" بل نقول ""لا كسولٌ إلا ناجحٌ","active","2025-03-23 14:54:02","2025-06-04 08:28:40","0","3",NULL
"202","لَيْسَ","ليس",NULL,"lays","laysa","نفي الجملة الاسمية","تعمل عمل كان وترفع المبتدأ وتنصب الخبر","18","1","1","فعل","نفي الجملة الاسمية","تدل على نفي الحال",NULL,"start","standalone","1",NULL,"active","2025-03-23 14:54:02","2025-05-22 11:38:16","0","6",NULL
"203","غَيْرَ","غير",NULL,"ghayra","ghayra","نفي جزئي","تأتي بمعنى ""إلا"" وتُعرب بحسب موقعها","18","1","1","اسم","نفي جزئي في الجملة","تحتاج إلى مضاف إليه",NULL,"start","standalone","1",NULL,"active","2025-03-23 14:54:02","2025-05-22 11:42:33","0","6",NULL
"204","لَمْ","لم",NULL,"lam","lam","نفي الفعل المضارع في الماضي مطلقا","إحدى الأَدَوات الجازمة ، تجزم فعلًا واحدًا وهي تدخُل على الفعل المضارع فتحوِّله إلى معنى الماضي وتَنْفيه في الماضي مُطْلَقًا","18","1","1","حرف","نفي الفعل المضارع مع الجزم والقلب","تفيد النفي المطلق مع الجزم والقلب","جزم الفعل المضارع","start","standalone","1",NULL,"active","2025-03-23 14:54:02","2025-05-22 11:43:38","0","6",NULL
"205","لَمَّا","لمّا",NULL,"lamma","lamma","نفي الفعل الماضي مع توقّع حدوثه","تختلف عن ""لم"" بأنها تفيد الترقب","18","1","1","حرف","نفي الفعل المضارع مع توقع حدوثه","تفيد النفي غير القطعي",NULL,"start","standalone","1",NULL,"active","2025-03-23 14:54:02","2025-06-04 08:30:01","0","3",NULL
"206","لَنْ","لن",NULL,"lan","lan","نفي المستقبل","تدخل على الفعل المضارع وتنصبه","18","1","1","حرف","نفي وقوع الفعل في المستقبل","تفيد النفي القطعي للمستقبل",NULL,"start","standalone","1",NULL,"active","2025-03-23 14:54:02","2025-05-22 11:45:04","0","6",NULL
"207","مَا","ما",NULL,"ma","mā","نفي الفعل الماضي","حرف نفي يدخل على الجملة الفعلية والجملة الإسمية ( تأتي ما النافية عاملة وأحيانا أخرى غير عاملة )","18","1","1","حرف","نفي الجملة الفعلية أو الاسمية","تفيد النفي في الماضي أو الحاضر حسب السياق",NULL,"start","standalone","1","ما النافية على نوعين : 1- ما نافية عاملة الحجازية 2-و غير عاملة ▪️(ما) النافية العاملة (الحجازية) العاملة عمل ليس تدخل على الجملة الاسمية ، وسُميّت بهذا الإسم ; لأنّ أهل الحجاز يجعلونها عاملة تشبه ليس في الأثر المعنوي والإعرابي","active","2025-03-23 14:54:02","2025-05-22 11:47:00","0","6",NULL
"208","إِنْ","إن",NULL,NULL,"Enn","حرف نفي","حرف نفي بمعنى (مَا )","18","41","37","حرف",NULL,"تدخل على الجملة الفعلية والجملة الإسمية ولا تؤثر فيهما في الإعراب ، بل تنفي حدوثهما .","تدخل على الجملة الفعلية والجملة الإسمية ولا تؤثر فيهما في الإعراب ، بل تنفي حدوثهما .","start","standalone","0","active","active","2025-04-20 13:09:21","2025-05-22 11:49:00","0","6",NULL
"209","لَاتَ","لات",NULL,NULL,"lat","حرف نفي","حرف نفي مبني على الفتح لامحل له من الاعراب وهي من الحروف الناسخة التي تعمل عمل (ليس)","18","43","38","حرف",NULL,"*","لها تأثيران : اولا: التأثير المعنوي:  تدخل على المبتدا والخبر فتنفي اتصاف المبتدأ بالخبر كما تفعل (ليس). ثانيا: تأثيرها الاعرابي: تدخل على الجملة الاسمية(المبتدأ والخبر فترفع المبتدأ إسما لها وتنصب الخبر خبرا لها).","start","standalone","0","يكون مابعد خبر(لات )مضاف اليه.
قال الشاعر:
إن غاب طيفك عني     فلات ساعة صبر
لات : حرف نفي مبني على الفتح لامحل له من الاعراب 
ساعة: خبر (لات)منصوب بالفتحة وهو مضاف
صبر: مضاف اليه 
واسمها محذوف تقديره (الساعة) مرفوع .","active","2025-04-20 13:21:56","2025-05-22 11:49:34","0","6",NULL
"210","لَا","لا",NULL,NULL,"laa","(النافية للجنس)","لَا النافية للجنس أداة تستعمل لنفي الحكم نفيا عاما عن جميع أفراد جنس الاسم الواقع بعدها.","18","44","39","حرف",NULL,"*","تعمل ""لَا"" النافية للجنس عمل إنَّ فتنصب الاسم (ويسمى اسمها) وترفع الخبر (ويسمى خبرها).وذلك بشرط أن يكون اسمها نكرة متصلة بها مثل: لا مجتهـدَ محرومٌ. (""مجتهدَ"": اسم لا منصوب، و""محرومٌ"": خبرها).","start","standalone","0","active","active","2025-04-21 07:28:18","2025-06-04 08:28:57","0","3",NULL
