category,description,example,notes,phoneme_char
التحوّل في معنى الكلمة,تفيد الاستفهام والانكار وتأتي للتوكيد .,"أليس الله بأحكم الحاكمين؟
أيا رجلُ، انتبه لما تفعل!",NULL,ء
التحوّل في دلالة الزمن ( الطلب - النفي- الاستمرارية - التحذير ),"التوكيد بالنفي والإثبات
تستخدم الهمزة مع النفي والإثبات لإبراز الفرق بين الحالتين وتوضيح المعنى، كما في:
أليس الله بأحكم الحاكمين؟ (توكيد لحكمة الله).",أليس الله بأحكم الحاكمين؟,NULL,ء
علاقته في التقديم والتأخير ( وأثر ذلك في المعنى وإثارة الانتباه ),"النداء والتنبيه
تأتي الهمزة أحيانًا لتوكيد النداء والتنبيه على أمر مهم:
أيا رجلُ، انتبه لما تفعل!
قد تستخدم الهمزة لجذب الانتباه، مثل: ""أفي الحقّ شكٌّ؟"" بدلًا من ""هل في الحقّ شكّ؟""، مما يمنح الجملة وقعًا بلاغيًّا أقوى.",أيا رجلُ، انتبه لما تفعل!,NULL,ء
دوره في التوكيد ( لإبراز المعنى وتقويته ),يخرج الاستفهام لمعاني عديدة منها تأكيد المعنى للمستمع,أليس الله بأحكم الحاكمين؟,NULL,ء
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),"التعجب والإنكار
تستخدم الهمزة للتعبير عن الدهشة أو الإنكار، مما يزيد من قوة المعنى، مثل:
أهذا هو تصرّفك؟! (توكيد على استغراب المتحدث من الفعل).",أحقًا هذا ما حدث؟,NULL,ء
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),تُعتبر الهمزة من الأحرف التي يُستَخدم بشكل واضح في الأساليب البلاغية مثل السجع والجناس، نظرًا لصفاتها.,"إن في السماء آيةً، وفي الأرض آلاءً، وفي البحر ماءً

سأل السائل عن سُؤْله.",NULL,ء
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),"تمييز المعاني وتوضيحها: بعض الكلمات تختلف معانيها اختلافًا جذريًّا بإضافة الهمزة أو حذفها، مثل:
""السَأْم"" (بمعنى الملل) و""السَمّ"" (بمعنى المادة السامة).
وقد تُستخدَم الهمزة لجذب الانتباه، مثل: ""أفي الحقّ شكٌّ؟"" بدلاً من ""هل في الحقّ شكّ؟""؛ مما يمنح الجملة وقعًا بلاغيًّا أقوى.","""السَأْم"" (بمعنى الملل) و""السَمّ"" (بمعنى المادة السامة).",NULL,ء
أثره على الإيحاءات العاطفية والنفسية في السّياق,"تُستخدم الهمزة بفاعلية لإيصال المشاعر المختلفة، من التعجب والاستفهام إلى التأكيد والدهشة والحزن والفرح. وهي بذلك أداة بلاغية قوية تضيف طابعًا نفسيًا للكلمات، مما يجعلها مفتاحًا لفهم الانفعالات في النصوص الأدبية والشعرية.
كما أنها تُضفي نبرة حادة، ما يعزز الإلحاح أو القلق كما في: ""أأنت متأكد؟"" أو ""آهٍ من هذا الألم!""","""أحبك"" و""أكرهك""، حيث تُضفي الهمزة وضوحًا وعاطفةً حادة.
""أواه"" و""آه"" تعبّران عن التأوّه والحزن، بينما ""أفٍّ"" تعبر عن الضيق والنفور.
""أأنت متأكد؟"" أو ""آهٍ من هذا الألم!""",NULL,ء
التحوّل في معنى الكلمة,"*باء الإلصاق، وهو معنى لا يفارقه عندما يدخل على الأسماء كحرف غير أصلي.
* باء التعدية.
* باء الاستعانة، وهي الداخلة على آلة الفعل، كقولك: كتبت بالقلم.
* باء التوكيد حيث يتصل بالفاعل فيكون حرفًا زائدا للتوكيد.",قوله تعالى: {وامسحوا برءوسكم} * خرجتُ بزيد؛ فمعناه: أخرجت زيداً * كقولك: كتبت بالقلم. * قوله تعالى: {وكفى بالله حسيبا} (النساء:6),NULL,ب
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يوجد له أثر,*,NULL,ب
علاقته في التقديم والتأخير ( وأثر ذلك في المعنى وإثارة الانتباه ),لا يوجد له أثر,*,NULL,ب
دوره في التوكيد ( لإبراز المعنى وتقويته ),لا يوجد له أثر,*,NULL,ب
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),لا يوجد له أثر,*,NULL,ب
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),تدخل في الجناس باختلاف حركة الباء,البِرّ والبَرّ والبُرّ,NULL,ب
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),لها ثلاثة عشر معنى ومنها حرف جر غير زائد,"منها الاستعلاء: ""مِنْ أَهْلِ الْكِتَابِ مَنْ إِنْ تَأْمَنْهُ بِقِنْطَارٍ يُؤَدِّهِ إِلَيْكَ""",NULL,ب
أثره على الإيحاءات العاطفية والنفسية في السّياق,لا يوجد له أثر,*,NULL,ب
التحوّل في معنى الكلمة,التحوّل في معنى الكلمة عند دخول التاء قد يأخذ عدة أشكال. حرف التاء يحمل دلالات نحوية وصرفية تؤثر في المعنى، فقد يكون أداة تأنيث، أو ضميرًا، أو جزءًا من بنية الكلمة لإضافة معانٍ مثل المبالغة أو المطاوعة. مثلاً: تحوّل الفعل إلى مصدر (كتب ← كتابة)، أو إضافة التاء للتصغير (كتاب ← كتيّب) أو للتأنيث (كاتب ← كاتبة) أو للتكبير (رجل ← رجالات). كما قد تغيّر التاء معنى الفعل نفسه (فتح ← فتحة ← فتّاحة).,"كَتَبَ → كِتَابَة
قَالَ → مَقَالَة
كِتَاب → كُتَيِّب
رَجُل → رِجَالات
عالِم → عالِمَة
فَتَحَ → فُتْحَة → فَتَّاحَة",NULL,ت
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),حرف التاء يلعب دورًا مهمًا في تحوّل دلالة الزمن ضمن السياقات المختلفة (الطلب، النفي، الاستمرارية، التحذير). فتأتي التاء في أفعال الأمر للمخاطب (تقدمْ، تعلمْ) للدلالة على الطلب، وفي أفعال النفي للمخاطبة الأنثى (لا تذهبي، لا تأكلي)، وفي المضارع المبدوء بالتاء (تكتب) للدلالة على الاستمرارية، وفي صيغ النهي أو التحذير (لا تتكلم في الصف).,"تَقَدَّمْ، تَعَلَّمْ
لا تَذْهَبِي، لا تَأكُلِي
تَكْتُب
لا تَتَكَلَّمْ في الصَّفِّ",NULL,ت
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يوجد له دور.,*,NULL,ت
دوره في التوكيد (لإبراز المعنى وتقويته),"يلعب حرف التاء دورًا مهمًا في التوكيد وإبراز المعنى، إذ يحدد الفاعل أو المخاطَب، مثل ""كتبتُ الدرسَ"" للتوكيد على المتكلم، أو ""كتبتَ الدرسَ"" لتوكيد المخاطب. كما يمكن أن يظهر في صيغ القسم للتوكيد، مثل: ""تاللهِ لأفعلنَّ كذا"".","كَتَبْتُ الدَرْسَ
كَتَبْتَ الواجِبَ
تَاللهِ لأَفْعَلَنَّ كَذَا",NULL,ت
دوره في الإنكار (لإظهار الدهشة والاستغراب),"يمكن أن يرد حرف التاء في بنية الفعل المضارع أو ضمير المخاطب، فيعبّر عن الدهشة أو الاستغراب، مثل قولنا: ""أتفعل هذا وأنت العاقل؟!"" حيث يشير استخدام التاء إلى تأكيد المخاطب وهو ما يضفي نبرة إنكار واستغراب على الجملة.",أَتَفْعَلُ هَذَا؟ أَتَدْرُسُ أَمْ تَتْرُكُ الدَّرْسَ؟,NULL,ت
دوره في التلاعب اللفظي والجناس (السجع - الجناس - التكرار),لا يوجد له دور.,*,NULL,ت
