category,example,description,phoneme_char
تأثيره على الكلمة ( من حيث البناء والإعراب ),*,لا تؤثر الهمزة على الكلمة من حيث البناء والإعراب .,ء
الموقع الإعرابي للحرف,*,لا محل له من الإعراب دائمًا,ء
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,لا تؤثر الهمزة على الكلمة من حيث التأنيث - التذكير .,ء
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا تؤثر الهمزة على الكلمة من حيث الجمع- التثنية.,ء
دور الحرف النحوي في الكلمة من حيث (االلزوم - التّعدي),خرج = أخرج,عندما تزاد الهمزة للفعل اللازم تجعله متعديا,ء
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا تؤثر الهمزة على الكلمة من حيث النسب- التصغير .,ء
دور الحرف النحوي في الكلمة ( المصدر الميمي - صيغ المبالغة ),أعرج ومؤنثه عرجاء,"تدخل الهمزة في وزن الصفة المشبهة 
الصفة المشبهة على وزن (أَفْعل) الذي مؤنثه على وزن (فَعْلاء) وذلك فيما دل على لون أو عيب أو حلية.",ء
دور الحرف النحوي في الكلمة من حيث ( اسم الفاعل - اسم المفعول ),*,لا تؤثر الهمزة على الكلمة من حيث اسم الفاعل - اسم المفعول  .,ء
دور الحرف النحوي في الكلمة من حيث ( الزمان - المكان ),NULL,لا تؤثر الهمزة على الكلمة من حيث المكان- الزمان .,ء
تأثيره على الكلمة ( من حيث البناء والإعراب ),الطالبُ مجتهدٌ = مررتُ بالطالبِ المجتهد * بحَسْبِكَ زَيدٌ.*ما زيدٌ بقائم.*فَمَا رَجَعَتْ بِخَائِبَةٍ رِكَابُ,الباء تُستخدم في الأسماء، وتؤثر على الإعراب فيكون حرف جرّ يغير الموقع الإعرابي للاسم وحركته، وقد تكونُ هذه الباءُ زائدةً في سِتةِ مَواضعَ (مع المبتدأ- الخبر - المفعول به - الحال المنفية),ب
الموقع الإعرابي للحرف,NULL,لا محل له من الاعراب دائما,ب
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,لا تؤثر الباء على الكلمة من حيث التأنيث - التذكير .,ب
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا تؤثر الباء على الكلمة من حيث الجمع - التثنية.,ب
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,لا تؤثر الباء على الكلمة من حيث اللزوم - التعدي .,ب
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا تؤثر الباء على الكلمة من حيث النسب - التصغير .,ب
