الوزن,وزن الجمع,نوع الجمع ,مثال,ملاحظات,,,,,,,,,,,,,,,,,,,,,
فَعْل,أَفْعُل,جموع القلة القياسية ,نَجْمٌ - أَنْجُمٌ,كل اسم مفرد ثلاثي سالم,,,,,,,,,,,,,,,,,,,,,
فِعَال,أَفْعُل,جموع القلة القياسية ,ذِرَاعٌ - أَذْرُع,,,,,,,,,,,,,,,,,,,,,,
فَعَل,أَفْعَال,جموع القلة القياسية ,بَابٌ-أَبْوَابٌ,و هو قياسي في كل اسم ثلاثي ى ينقاس الوزن فيه الوزن السابق (أَفْعُل),,,,,,,,,,,,,,,,,,,,,
فُعْل,أَفْعَال,جموع القلة القياسية ,بُرْجٌ - أَبْرَاجٌ,"هذه أوزان اسمية ثلاثية، وغالباً ما تستخدم لتدل على المصدر (الاسم الذي يدل على الحدث) من الفعل الثلاثي.
",,,,,,,,,,,,,,,,,,,,,
فَعَال, أَفْعِلَة,جموع القلة القياسية ,طَعَامٌ-أَطْعِمَةٌ,"كل اسم مذكر مفرد رباعي، قبل آخره حرف مد ",,,,,,,,,,,,,,,,,,,,,
فُعْول, أَفْعِلَة,جموع القلة القياسية ,عُمْود - أَعْمِدَة,,,,,,,,,,,,,,,,,,,,,,
فَعِيل, أَفْعِلَة,جموع القلة القياسية ,رَغِيف - أَرْغِفَة,,,,,,,,,,,,,,,,,,,,,,
فِعَال,أَفْعِلَة,جموع القلة القياسية ,كِسَاء - أَكْسِيَة,,,,,,,,,,,,,,,,,,,,,,
فُعَال,أَفْعِلَة,جموع القلة القياسية ,غُرَاب - أَغْرِبَة,,,,,,,,,,,,,,,,,,,,,,
فَعَل,فُعُول,جموع الكثرة القياسية ,طَلَل=طُلُول,,,,,,,,,,,,,,,,,,,,,,
أَفْعَل,فُعْل,جموع الكثرة القياسية ,أَسْمَرٌ-سُمْرٌ,وَصْفٌ لِمُذكر ,,,,,,,,,,,,,,,,,,,,,
فَعْلَاء,فُعْل,جموع الكثرة القياسية ,سَمْرَاءٌ-سُمْرٌ,وَصْفٌ لِمُذكر ,,,,,,,,,,,,,,,,,,,,,
فَعِل,فُعُل,جموع الكثرة القياسية ,سَبِيلٌ=سُبُلٌ,هو قياسي,,,,,,,,,,,,,,,,,,,,,
فَعُول,فُعُل,جموع الكثرة القياسية ,صَبُورٌ بمعنى صَابِرٌ = صُبُر,وصف بمعنى (فَاعِلِ),,,,,,,,,,,,,,,,,,,,,
فَعِيل,فُعُل,جموع الكثرة القياسية ,جَدِيد - جُدُد,,,,,,,,,,,,,,,,,,,,,,
